Id,Name,InventoryItemId,Measure,Quantity,IsBatch
0,Bread,,,1,FALSE
1,Pesto Sauce,,,1.6,TRUE
2,Italian Sausage,,,3.5,FALSE
3,Grilled Onions,,,1.6,TRUE
4,Roasted Bell Peppers,,,1.2,TRUE
5,Tomatoes,,,1.4,FALSE
6,Jalapenos,,,0.8,FALSE
7,Pepper Jack,,,1.4,FALSE
8,Bacon,,,1,FALSE
9,Egg,,,1,FALSE
10,Olive Oil Spread,,,1,TRUE
