Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,Id
Celery,Produce,1/2 CASE,0,1/2 CASE,1,BUNCH,12,1,2.05,0,,63
Fresh Basil,Produce,1lb,1.4,BAG,1,OZ-wt,16,0.65,4.5,0,,64
Jalapenos,Produce,2lb BAG,0.25,BAG,1,OZ-wt,32,0.95,3.55,0,,65
Pineapple,Produce,EACH,10,EACH,1,OZ-wt,44,1,2.99,0,,66
Strawberries (Produce A),Produce,1lb,2,BASKET,1,OZ-wt,16,0.85,3.75,3,12/28/2016 11:52:40 AM,67
Strawberries (Costco),Produce,2lbs,0,BASKET,1,OZ-wt,32,0.85,3.49,0,,68
Blueberries (PA),Produce,BASKET,3,BASKET,1,OZ-wt,16,0.85,4.95,0,,69
Blueberries (Costco),Produce,BASKET,8,BASKET,1,OZ-wt,32,0.85,5.29,0,,70
Garlic Peeled,Produce,5lb JAR,0,JAR,1,OZ-wt,114.29,0.98,17,0,,71
Chicken Breast,Poultry,40lb CASE,0,CASE,1,OZ-wt,640,0.85,68.7,0,,72
Ground Beef,Meats,20lb CASE,1,LOG,2,EA,2,1,53,0,,73
Italian Sausage,Meats,10lb CASE,11,BAG,2,OZ-wt,160,0.91,27.16,5,12/28/2016 11:52:40 AM,74
Bacon Bits,Meats,10lb CASE,4,BAG,2,OZ-wt,160,1,48.44,0,,75
Sourdough,Bread,EACH,183,EACH,1,EA,1,1,0.75,0,,76
Whole Wheat,Bread,EACH,84,EACH,1,EA,1,1,0.75,0,,77
