Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
63,Celery,Produce,1/2 CASE,1/2 CASE,1,BUNCH,12,0,1,2.05,0,
64,Fresh Basil,Produce,1lb,BAG,1,OZ-wt,16,1.4,0.65,4.5,0,
65,Jalapenos,Produce,2lb BAG,BAG,1,OZ-wt,32,0.25,0.95,3.55,0,
66,Pineapple,Produce,EACH,EACH,1,OZ-wt,44,10,1,2.99,0,
67,Strawberries (Produce A),Produce,1lb,BASKET,1,OZ-wt,16,2,0.85,3.75,0,12/28/2016 11:52:40 AM
68,Strawberries (Costco),Produce,2lbs,BASKET,1,OZ-wt,32,0,0.85,3.49,0,
69,Blueberries (PA),Produce,BASKET,BASKET,1,OZ-wt,16,3,0.85,4.95,0,
70,Blueberries (Costco),Produce,BASKET,BASKET,1,OZ-wt,32,8,0.85,4.29,100,
71,Garlic Peeled,Produce,5lb JAR,JAR,1,OZ-wt,114.29,0,0.98,17,0,
72,Chicken Breast,Poultry,40lb CASE,CASE,1,OZ-wt,640,0,0.85,68.7,0,
73,Ground Beef,Meats,20lb CASE,LOG,2,EA,2,1,1,53,0,
74,Italian Sausage,Meats,10lb CASE,BAG,2,OZ-wt,160,11,0.91,27.16,0,12/28/2016 11:52:40 AM
75,Bacon Bits,Meats,10lb CASE,BAG,2,OZ-wt,160,4,1,48.44,0,
76,Sourdough,Bread,EACH,EACH,1,EA,1,183,1,0.75,0,
77,Whole Wheat,Bread,EACH,EACH,1,EA,1,84,1,0.75,0,
