Id,Name,Count,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,10,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,480,1,70.89,2,7/5/2017 12:00:00 AM,0
1,Cheddar,8,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,47.65,1,7/5/2017 12:00:00 AM,0
14,Stewed Tomatoes,6,Grocery,6# CANS,CAN,6,EA,6,100,14.97,1,7/5/2017 12:00:00 AM,0
19,Mayonnaise,5,Grocery,4 GAL,JUG,4,EA,4,10000,23.89,1,7/5/2017 12:00:00 AM,0
21,Macaroni,3,Grocery,20lb CASE,BAG,2,EA,320,241,17.69,2,7/5/2017 12:00:00 AM,0
23,Roasted Bell Peppers,7,Grocery,6# CANS,CAN,6,OZ-wt,360,98,37.44,1,7/5/2017 12:00:00 AM,0
36,Olive Oil,3.3,Grocery,6 GAL,JUG,6,OZ-fl,768,99,50.8,1,7/5/2017 12:00:00 AM,0
49,Salt,1,Herbs,EA,Container,1,TBL,615,100,5.9,1,7/5/2017 12:00:00 AM,0
54,Yellow Onions,0,Produce,50lb,BAG,1,OZ-wt,800,85,17.21,3,7/5/2017 12:00:00 AM,0
55,Red Onions,0.5,Produce,25lb,BAG,1,OZ-wt,400,8500,13.49,1,7/5/2017 12:00:00 AM,0
56,Potatoes,0.25,Produce,50lb,1/2 CASE,1,OZ-wt,800,850000,11.59,1,7/5/2017 12:00:00 AM,0
57,Spinach,1,Produce,4x2.5lb,BAG,4,OZ-wt,160,99,15.79,2,7/5/2017 12:00:00 AM,0
58,Mixed Greens,1,Produce,3lb,BAG,1,OZ-wt,48,9800,5.99,2,7/5/2017 12:00:00 AM,0
59,Mushrooms,0,Produce,10lb CASE,FLAT,1,OZ-wt,160,95,18.79,3,7/5/2017 12:00:00 AM,0
60,Cucumbers,1,Produce,36 COUNT,CASE,1,OZ-wt,420,950000,19.99,1,7/5/2017 12:00:00 AM,0
61,Tomatoes,0.5,Produce,25lb,CASE,1,OZ-wt,400,97,11.89,1,7/5/2017 12:00:00 AM,0
62,Avocado,0,Produce,60 COUNT,EACH,60,EA,24,10000,53,1,7/5/2017 12:00:00 AM,0
63,Celery,0,Produce,24 COUNT,1/2 CASE,24,BUNCH,12,100,35.93,1,7/5/2017 12:00:00 AM,0
64,Fresh Basil,1.1,Produce,1lb,BAG,1,OZ-wt,16,65,8.3,1,7/5/2017 12:00:00 AM,0
71,Garlic Peeled,1,Produce,5lbs,JAR,1,OZ-wt,114.29,98,17.95,1,7/5/2017 12:00:00 AM,0
72,Chicken Breast,0,Poultry,40lb CASE,CASE,1,OZ-wt,640,85,75,3,7/5/2017 12:00:00 AM,0
74,Italian Sausage,7,Meats,20lb CASE,BAG,4,OZ-wt,160,91,45.5,1,7/5/2017 12:00:00 AM,0
75,Bacon Bits,2,Meats,10lb CASE,BAG,2,OZ-wt,160,100,52.99,1,7/5/2017 12:00:00 AM,0
