Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,2,54.49,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,1/24/2018 12:00:00 AM,0
1,Cheddar,3,41.14,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,1/24/2018 12:00:00 AM,0
11,Pesto,2,106,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,1/24/2018 12:00:00 AM,0
14,Stewed Tomatoes,1,15.47,Grocery,6# CANS,7,CAN,6,EA,6,100,1/24/2018 12:00:00 AM,0
21,Macaroni,5,17.82,Grocery,20lb CASE,0,BAG,2,EA,160,2.41,1/24/2018 12:00:00 AM,0
23,Roasted Bell Peppers,1,37.44,Grocery,6# CANS,0,CAN,6,OZ-wt,360,98,1/24/2018 12:00:00 AM,0
24,Chopped Clams,1,91,Grocery,12x48oz CANS,13,CAN,12,EA,12,100,1/24/2018 12:00:00 AM,0
54,Yellow Onions,5,16.95,Produce,20lbs,2,BAG,4,OZ-wt,800,85,1/24/2018 12:00:00 AM,0
56,Potatoes,1,17.47,Produce,50lb,1.1,1/2 CASE,1,OZ-wt,800,850000,1/24/2018 12:00:00 AM,0
57,Spinach,3,16.5,Produce,4x2.5lb,4,BAG,4,OZ-wt,160,99,1/24/2018 12:00:00 AM,0
58,Mixed Greens,2,5.99,Produce,3lb,0,BAG,1,OZ-wt,48,9800,1/24/2018 12:00:00 AM,0
59,Mushrooms,4,16.9,Produce,10lb CASE,0.3,FLAT,1,OZ-wt,160,95,1/24/2018 12:00:00 AM,0
61,Tomatoes,2,17.9,Produce,25lb,0.4,CASE,1,OZ-wt,400,0.95,1/24/2018 12:00:00 AM,0
64,Fresh Basil,1,8.99,Produce,1lb,0.6,BAG,1,OZ-wt,16,65,1/24/2018 12:00:00 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,2,EACH,6,OZ-wt,44,100,1/24/2018 12:00:00 AM,0
71,Garlic Peeled,1,16.99,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,1/24/2018 12:00:00 AM,0
72,Chicken Breast,5,41.98,Poultry,40lb CASE,1.1,CASE,1,OZ-wt,640,85,1/24/2018 12:00:00 AM,0
74,Italian Sausage,2,47.5,Meats,20lb CASE,10.5,BAG,4,OZ-wt,160,91,1/24/2018 12:00:00 AM,0
75,Bacon Bits,2,53.49,Meats,10lb CASE,2,BAG,2,OZ-wt,80,1,1/24/2018 12:00:00 AM,0
107,Dried Pinto Beans,1,28.69,Grocery,25lb,7,Quart,14.47,8,8,10000,1/24/2018 12:00:00 AM,0
112,Dried Garbanzo Beans,1,26.99,Grocery,20lbs,0,QUART,11.58,LB,1.877,1000000,1/24/2018 12:00:00 AM,0
131,Jalapenos Nacho Sliced,1,19.99,Grocery,EA,3,CAN,6,OZ-wt,1,,1/24/2018 12:00:00 AM,0
