Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,66.85,6,CASE 30lb,Dairy,3,5lb BAG,OZ-wt,480,1,1,5/11/2017 12:00:00 AM,0
1,Cheddar,43.49,4,CASE 20lb,Dairy,8,5lb BAG,OZ-wt,320,1,1,5/11/2017 12:00:00 AM,0
4,Butter,76.99,30,CASE 30lb,Dairy,25,1lb,OZ-wt,480,1,1,5/11/2017 12:00:00 AM,0
18,Artichoke Hearts,54,6,6# CANS,Grocery,3,CAN,OZ-wt,324,10000,1,5/11/2017 12:00:00 AM,0
19,Mayonnaise,23.77,4,4 GAL,Grocery,3,JUG,EA,4,10000,1,5/11/2017 12:00:00 AM,0
21,Macaroni,17.75,2,20lb CASE,Grocery,4,BAG,EA,320,241,3,5/11/2017 12:00:00 AM,0
23,Roasted Bell Peppers,37.44,6,6# CANS,Grocery,0,CAN,OZ-wt,360,98,1,5/11/2017 12:00:00 AM,0
25,Tomato Juice,15.79,12,12x48oz CANS,Grocery,29,CAN,EA,12,100,2,5/11/2017 12:00:00 AM,0
36,Olive Oil,49.95,6,6 GAL,Grocery,1,JUG,OZ-fl,768,99,1,5/11/2017 12:00:00 AM,0
54,Yellow Onions,12.75,1,50lb,Produce,0,BAG,OZ-wt,800,85,3,5/11/2017 12:00:00 AM,0
57,Spinach,15.75,4,4x2.5lb,Produce,2,BAG,OZ-wt,160,99,2,5/11/2017 12:00:00 AM,0
58,Mixed Greens,5.99,1,3lb,Produce,1,BAG,OZ-wt,48,9800,2,5/11/2017 12:00:00 AM,0
59,Mushrooms,19,1,10lb CASE,Produce,0,FLAT,OZ-wt,160,95,4,5/11/2017 12:00:00 AM,0
61,Tomatoes,9.5,1,25lb,Produce,1,CASE,OZ-wt,400,97,2,5/11/2017 12:00:00 AM,0
62,Avocado,45.6,60,60 COUNT,Produce,44,EACH,EA,24,10000,1,5/11/2017 12:00:00 AM,0
64,Fresh Basil,8.3,1,1lb,Produce,0.3,BAG,OZ-wt,16,65,1,5/11/2017 12:00:00 AM,0
66,Pineapple,16.99,6,6 COUNT,Produce,5,EACH,OZ-wt,44,100,1,5/11/2017 12:00:00 AM,0
72,Chicken Breast,59,1,40lb CASE,Poultry,2,CASE,OZ-wt,640,85,2,5/11/2017 12:00:00 AM,0
74,Italian Sausage,42.5,4,20lb CASE,Meats,7.5,BAG,OZ-wt,160,91,1,5/11/2017 12:00:00 AM,0
75,Bacon Bits,51.32,2,10lb CASE,Meats,2,BAG,OZ-wt,160,100,1,5/11/2017 12:00:00 AM,0
107,Dried Pinto Beans,14.3,14.47,25lb,Grocery,8,Quart,8,8,10000,1,5/11/2017 12:00:00 AM,0
