Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
2,Pepper Jack,1,46.99,Dairy,CASE 20lb,1,5lb BAG,4,OZ-wt,80,1,11/12/2017 12:00:00 AM,0
5,Sour Cream,1,13.89,Dairy,2 x 5lb,0,5lb BUCKET,2,OZ-wt,160,95,11/12/2017 12:00:00 AM,0
11,Pesto,1,106,Dairy,2/22lb,0,BAG,2,OZ-wt,4,970000,11/12/2017 12:00:00 AM,0
13,Pizza Sauce,1,21.75,Grocery,6# CANS,5,CAN,6,EA,6,100,11/12/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,15.47,Grocery,6# CANS,0,CAN,6,EA,6,100,11/12/2017 12:00:00 AM,0
18,Artichoke Hearts,1,62.57,Grocery,6# CANS,7,CAN,6,OZ-wt,324,10000,11/12/2017 12:00:00 AM,0
19,Mayonnaise,1,25.75,Grocery,4 GAL,3,JUG,4,EA,4,10000,11/12/2017 12:00:00 AM,0
20,BBQ Sauce,1,48.79,Grocery,CS 39.5lbs,5,JUG,4,OZ-wt,632,9800,11/12/2017 12:00:00 AM,0
21,Macaroni,5,17.72,Grocery,20lb CASE,1,BAG,2,EA,160,2.39,11/12/2017 12:00:00 AM,0
23,Roasted Bell Peppers,1,37.44,Grocery,6# CANS,0,CAN,6,OZ-wt,360,98,11/12/2017 12:00:00 AM,0
25,Tomato Juice,3,15.79,Grocery,12x48oz CANS,5,CAN,12,EA,12,100,11/12/2017 12:00:00 AM,0
34,Canola Oil,1,24.55,Grocery,35lb JUG,1.25,JUG,1,OZ-wt,800,99,11/12/2017 12:00:00 AM,0
36,Olive Oil,1,50.8,Grocery,6 GAL,0.4,JUG,6,OZ-fl,128,99,11/12/2017 12:00:00 AM,0
49,Salt,1,5.95,Herbs,EA,1,Container,1,TBL,615,100,11/12/2017 12:00:00 AM,0
54,Yellow Onions,5,16.95,Produce,20lbs,0,BAG,4,OZ-wt,800,85,11/12/2017 12:00:00 AM,0
56,Potatoes,1,13.79,Produce,50lb,1.25,1/2 CASE,1,OZ-wt,800,850000,11/12/2017 12:00:00 AM,0
57,Spinach,2,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,11/12/2017 12:00:00 AM,0
58,Mixed Greens,2,5.99,Produce,3lb,1,BAG,1,OZ-wt,48,9800,11/12/2017 12:00:00 AM,0
60,Cucumbers,1,23.99,Produce,36 COUNT,0.75,CASE,1,OZ-wt,420,950000,11/12/2017 12:00:00 AM,0
61,Tomatoes,2,17.9,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,11/12/2017 12:00:00 AM,0
62,Avocado,1,36.99,Produce,60 COUNT,16,EACH,60,EA,24,10000,11/12/2017 12:00:00 AM,0
63,Celery,1,29.99,Produce,24 COUNT,12,1/2 CASE,24,BUNCH,12,100,11/12/2017 12:00:00 AM,0
64,Fresh Basil,1,8.99,Produce,1lb,0,BAG,1,OZ-wt,16,65,11/12/2017 12:00:00 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,5,EACH,6,OZ-wt,44,100,11/12/2017 12:00:00 AM,0
71,Garlic Peeled,1,18.63,Produce,5lbs,0,JAR,1,OZ-wt,114.29,98,11/12/2017 12:00:00 AM,0
72,Chicken Breast,2,42.99,Poultry,40lb CASE,0,CASE,1,OZ-wt,640,85,11/12/2017 12:00:00 AM,0
74,Italian Sausage,2,47.95,Meats,20lb CASE,6,BAG,4,OZ-wt,160,91,11/12/2017 12:00:00 AM,0
75,Bacon Bits,3,53.99,Meats,10lb CASE,0,BAG,2,OZ-wt,160,100,11/12/2017 12:00:00 AM,0
131,Jalapenos Nacho Sliced,1,19.99,Grocery,EA,5,CAN,6,OZ-wt,1,,11/12/2017 12:00:00 AM,0
