Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,2,56.35,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,2/22/2018 2:57:03 PM,0
1,Cheddar,2,42.24,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,2/22/2018 2:57:03 PM,0
5,Sour Cream,1,13.99,Dairy,2 x 5lb,1,GALLON,2,OZ-wt,16,1,2/15/2018 2:38:32 PM,0
8,Eggs,1,31.89,Dairy,15 DOZEN,3.1,TRAY,6,EA,180,95,2/15/2018 2:38:32 PM,0
11,Pesto,2,107.99,Dairy,2/22lb,2,BAG,2,OZ-wt,4,970000,2/15/2018 2:38:32 PM,0
13,Pizza Sauce,1,22,Grocery,6# CANS,3,CAN,6,EA,6,100,2/19/2018 12:00:00 AM,0
19,Mayonnaise,1,26.99,Grocery,4 GAL,7,JUG,4,EA,4,10000,2/22/2018 2:57:03 PM,0
21,Macaroni,3,19.82,Grocery,20lb CASE,4,BAG,2,EA,160,2.41,2/22/2018 2:57:03 PM,0
25,Tomato Juice,1,15.79,Grocery,12x48oz CANS,24,CAN,12,EA,1,1,2/22/2018 2:57:03 PM,0
36,Olive Oil,2,49.95,Grocery,6 GAL,8,JUG,6,OZ-fl,128,1,2/22/2018 2:57:03 PM,0
54,Yellow Onions,5,16.59,Produce,20lbs,7,BAG,4,OZ-wt,80,1,2/22/2018 2:57:03 PM,0
55,Red Onions,1,11.75,Produce,25lb,0.6,BAG,1,OZ-wt,400,8500,2/19/2018 12:00:00 AM,0
56,Potatoes,1,19.99,Produce,50lb,0.5,1/2 CASE,1,OZ-wt,800,0.85,2/19/2018 12:00:00 AM,0
57,Spinach,2,16.5,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,2/22/2018 2:57:03 PM,0
58,Mixed Greens,1,5.99,Produce,3lb,0,BAG,1,OZ-wt,48,9800,2/22/2018 2:57:03 PM,0
60,Cucumbers,1,19.89,Produce,36 COUNT,0.1,CASE,1,OZ-wt,420,950000,2/22/2018 2:57:03 PM,0
61,Tomatoes,2,16.71,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,2/22/2018 2:57:03 PM,0
64,Fresh Basil,1,8.99,Produce,1lb,0,BAG,1,OZ-wt,16,1,2/22/2018 2:57:03 PM,0
66,Pineapple,2,16.99,Produce,6 COUNT,1,EACH,6,OZ-wt,44,100,2/22/2018 2:57:03 PM,0
71,Garlic Peeled,1,16.99,Produce,5lbs,0,JAR,1,OZ-wt,114.29,1,2/22/2018 2:57:03 PM,0
72,Chicken Breast,2,42.53,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,2/22/2018 2:57:03 PM,0
74,Italian Sausage,3,47.5,Meats,20lb CASE,11,BAG,4,OZ-wt,160,91,2/22/2018 2:57:03 PM,0
75,Bacon Bits,3,49.99,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,2/22/2018 2:57:03 PM,0
131,Jalapenos Nacho Sliced,1,19.99,Grocery,EA,1,CAN,6,OZ-wt,1,,2/15/2018 2:38:32 PM,0
134,Buttermilk,1,9.89,Dairy,EA,0,1/2 GALLON,6,EA,1,1,,
