Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,75.51,Dairy,CASE 30lb,9,5lb BAG,6,OZ-wt,480,1,8/27/2017 12:00:00 AM,0
1,Cheddar,3,48.23,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,8/27/2017 12:00:00 AM,0
2,Pepper Jack,1,45.25,Dairy,CASE 20lb,2,5lb BAG,4,OZ-wt,320,1,8/27/2017 12:00:00 AM,0
4,Butter,1,91.85,Dairy,CASE 30lb,26,1lb,30,OZ-wt,480,1,8/27/2017 12:00:00 AM,0
13,Pizza Sauce,1,21.4,Grocery,6# CANS,5,CAN,6,EA,6,100,8/27/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,15.79,Grocery,6# CANS,7,CAN,6,EA,6,100,8/27/2017 12:00:00 AM,0
21,Macaroni,2,17.69,Grocery,20lb CASE,3,BAG,2,EA,320,241,8/27/2017 12:00:00 AM,0
23,Roasted Bell Peppers,2,37.44,Grocery,6# CANS,1,CAN,6,OZ-wt,360,98,8/27/2017 12:00:00 AM,0
25,Tomato Juice,2,15.79,Grocery,12x48oz CANS,31,CAN,12,EA,12,100,8/27/2017 12:00:00 AM,0
36,Olive Oil,2,50.8,Grocery,6 GAL,7.2,JUG,6,OZ-fl,768,99,8/27/2017 12:00:00 AM,0
54,Yellow Onions,3,14.99,Produce,50lb,0,BAG,1,OZ-wt,800,85,8/27/2017 12:00:00 AM,0
56,Potatoes,1,11.59,Produce,50lb,1.5,1/2 CASE,1,OZ-wt,800,850000,8/27/2017 12:00:00 AM,0
57,Spinach,2,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,8/27/2017 12:00:00 AM,0
58,Mixed Greens,1,5.99,Produce,3lb,1,BAG,1,OZ-wt,48,9800,8/27/2017 12:00:00 AM,0
59,Mushrooms,3,18.95,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,8/27/2017 12:00:00 AM,0
62,Avocado,1,49.95,Produce,60 COUNT,19,EACH,60,EA,24,10000,8/27/2017 12:00:00 AM,0
63,Celery,1,24.89,Produce,24 COUNT,5,1/2 CASE,24,BUNCH,12,100,8/27/2017 12:00:00 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,7,EACH,6,OZ-wt,44,100,8/27/2017 12:00:00 AM,0
71,Garlic Peeled,1,17.95,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,8/27/2017 12:00:00 AM,0
72,Chicken Breast,1,66.99,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,8/27/2017 12:00:00 AM,0
74,Italian Sausage,1,46.95,Meats,20lb CASE,8,BAG,4,OZ-wt,160,91,8/27/2017 12:00:00 AM,0
