Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,75.51,Dairy,CASE 30lb,9,5lb BAG,6,OZ-wt,480,1,8/9/2017 12:00:00 AM,0
1,Cheddar,1,45.99,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,8/9/2017 12:00:00 AM,0
19,Mayonnaise,1,25.04,Grocery,4 GAL,2,JUG,4,EA,4,10000,8/9/2017 12:00:00 AM,0
20,BBQ Sauce,1,42.79,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,8/9/2017 12:00:00 AM,0
25,Tomato Juice,2,15.79,Grocery,12x48oz CANS,31,CAN,12,EA,12,100,8/9/2017 12:00:00 AM,0
54,Yellow Onions,3,14.99,Produce,50lb,0,BAG,1,OZ-wt,800,85,8/9/2017 12:00:00 AM,0
55,Red Onions,1,14.99,Produce,25lb,1,BAG,1,OZ-wt,400,8500,8/9/2017 12:00:00 AM,0
56,Potatoes,1,11.59,Produce,50lb,1.5,1/2 CASE,1,OZ-wt,800,850000,8/9/2017 12:00:00 AM,0
57,Spinach,2,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,8/9/2017 12:00:00 AM,0
58,Mixed Greens,1,5.99,Produce,3lb,1,BAG,1,OZ-wt,48,9800,8/9/2017 12:00:00 AM,0
59,Mushrooms,3,18.99,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,8/9/2017 12:00:00 AM,0
61,Tomatoes,1,16.53,Produce,25lb,0.5,CASE,1,OZ-wt,400,97,8/9/2017 12:00:00 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,7,EACH,6,OZ-wt,44,100,8/9/2017 12:00:00 AM,0
71,Garlic Peeled,1,17.95,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,8/9/2017 12:00:00 AM,0
72,Chicken Breast,3,69.99,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,8/9/2017 12:00:00 AM,0
74,Italian Sausage,2,47.04,Meats,20lb CASE,8,BAG,4,OZ-wt,160,91,8/9/2017 12:00:00 AM,0
107,Dried Pinto Beans,1,28.69,Grocery,25lb,12,Quart,14.47,8,8,10000,8/9/2017 12:00:00 AM,0
