Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,73.95,Dairy,CASE 30lb,9,5lb BAG,6,OZ-wt,480,1,9/3/2017 12:00:00 AM,0
1,Cheddar,1,48.23,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,9/3/2017 12:00:00 AM,0
8,Eggs,1,16.98,Dairy,15 DOZEN,4,TRAY,6,EA,180,95,9/3/2017 12:00:00 AM,0
13,Pizza Sauce,1,21.4,Grocery,6# CANS,5,CAN,6,EA,6,100,9/3/2017 12:00:00 AM,0
14,Stewed Tomatoes,1,15.79,Grocery,6# CANS,7,CAN,6,EA,6,100,9/3/2017 12:00:00 AM,0
25,Tomato Juice,1,15.79,Grocery,12x48oz CANS,31,CAN,12,EA,12,100,9/3/2017 12:00:00 AM,0
54,Yellow Onions,2,13.76,Produce,50lb,0,BAG,1,OZ-wt,800,85,9/3/2017 12:00:00 AM,0
57,Spinach,2,15.79,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,9/3/2017 12:00:00 AM,0
58,Mixed Greens,1,5.99,Produce,3lb,1,BAG,1,OZ-wt,48,9800,9/3/2017 12:00:00 AM,0
59,Mushrooms,1,18.95,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,9/3/2017 12:00:00 AM,0
61,Tomatoes,1,14.49,Produce,25lb,0.5,CASE,1,OZ-wt,400,97,9/3/2017 12:00:00 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,7,EACH,6,OZ-wt,44,100,9/3/2017 12:00:00 AM,0
71,Garlic Peeled,1,17.95,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,9/3/2017 12:00:00 AM,0
72,Chicken Breast,2,65.79,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,9/3/2017 12:00:00 AM,0
74,Italian Sausage,1,46.95,Meats,20lb CASE,8,BAG,4,OZ-wt,160,91,9/3/2017 12:00:00 AM,0
75,Bacon Bits,2,53.99,Meats,10lb CASE,4,BAG,2,OZ-wt,160,100,9/3/2017 12:00:00 AM,0
