Id,Name,Count,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,3,Dairy,CASE 30lb,5lb BAG,6,OZ-wt,480,1,72.45,1,6/25/2017 12:00:00 AM,0
1,Cheddar,8,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,48.45,1,6/25/2017 12:00:00 AM,0
2,Pepper Jack,4,Dairy,CASE 20lb,5lb BAG,4,OZ-wt,320,1,45.55,1,6/25/2017 12:00:00 AM,0
4,Butter,26,Dairy,CASE 30lb,1lb,30,OZ-wt,480,1,81.25,1,6/25/2017 12:00:00 AM,0
5,Sour Cream,2,Dairy,2 x 5lb,5lb BUCKET,2,OZ-wt,160,95,12.5,1,6/25/2017 12:00:00 AM,0
8,Eggs,5,Dairy,15 DOZEN,TRAY,6,EA,180,95,16.98,1,6/25/2017 12:00:00 AM,0
13,Pizza Sauce,8,Grocery,6# CANS,CAN,6,EA,6,100,20.95,1,6/25/2017 12:00:00 AM,0
19,Mayonnaise,1,Grocery,4 GAL,JUG,4,EA,4,10000,23.79,1,6/25/2017 12:00:00 AM,0
25,Tomato Juice,30,Grocery,12x48oz CANS,CAN,12,EA,12,100,15.79,1,6/25/2017 12:00:00 AM,0
36,Olive Oil,3.25,Grocery,6 GAL,JUG,6,OZ-fl,768,99,50.8,1,6/25/2017 12:00:00 AM,0
54,Yellow Onions,0,Produce,50lb,BAG,1,OZ-wt,800,85,14,2,6/25/2017 12:00:00 AM,0
56,Potatoes,0.25,Produce,50lb,1/2 CASE,1,OZ-wt,800,850000,11.59,1,6/25/2017 12:00:00 AM,0
57,Spinach,1,Produce,4x2.5lb,BAG,4,OZ-wt,160,99,15.75,1,6/25/2017 12:00:00 AM,0
58,Mixed Greens,1,Produce,3lb,BAG,1,OZ-wt,48,9800,6.99,1,6/25/2017 12:00:00 AM,0
61,Tomatoes,0.5,Produce,25lb,CASE,1,OZ-wt,400,97,12.75,1,6/25/2017 12:00:00 AM,0
66,Pineapple,11,Produce,6 COUNT,EACH,6,OZ-wt,44,100,16.99,1,6/25/2017 12:00:00 AM,0
71,Garlic Peeled,1,Produce,5lbs,JAR,1,OZ-wt,114.29,98,18,1,6/25/2017 12:00:00 AM,0
72,Chicken Breast,0,Poultry,40lb CASE,CASE,1,OZ-wt,640,85,76.55,1,6/25/2017 12:00:00 AM,0
74,Italian Sausage,7,Meats,20lb CASE,BAG,4,OZ-wt,160,91,45.5,2,6/25/2017 12:00:00 AM,0
75,Bacon Bits,2,Meats,10lb CASE,BAG,2,OZ-wt,160,100,51.32,1,6/25/2017 12:00:00 AM,0
97,Dried Black Beans,9,Grocery,50lbs,Quart,27.414,3.5,1,100,41.35,1,6/25/2017 12:00:00 AM,0
107,Dried Pinto Beans,10,Grocery,25lb,Quart,14.47,8,8,10000,14.3,1,6/25/2017 12:00:00 AM,0
