Id,Name,Measure,InventoryItemId,Quantity
0,Cheddar,,1,16
1,Mozzarella,,0,4
2,Whole Milk,,9,7
3,Butter,,4,4
4,Olive Oil,,36,1
5,Macaroni,,21,60
6,Salt,,49,1
7,Pepper,,48,0.5
