Id,Name,Measure,InventoryItemId,Quantity
0,Olive Oil,,36,48
1,Salt,,49,1
2,Pepper,,48,1
3,Oregano,,45,1
4,Thyme,,44,1
5,Dried Basil,,43,1
6,Garlic Peeled,,71,2
