Id,Name,Measure,InventoryItemId,Quantity
0,Lemon Juice,,42,120
1,Olive Oil,,36,80
2,Salt,,49,24
3,Oregano,,45,16
4,Thyme,,44,32
5,Garlic Peeled,,71,8
