Id,Name,Measure,InventoryItemId,Quantity
0,Heavy Cream,,6,4
1,Butter,,4,8
2,Stewed Tomatoes,,14,1
3,Tomato Juice,,25,8
4,Salt,,49,1
5,Pepper,,48,1
6,Oregano,,45,1
7,Garlic Peeled,,71,4
8,Fresh Basil,,64,4
