Id,Name,Measure,InventoryItemId,Quantity
0,Olive Oil,,36,48
1,Balsamic Vinegar,,30,16
2,Sugar (BROWN),,38,8
3,Salt,,49,4
4,Pepper,,48,1
5,Oregano,,45,1
6,Thyme,,44,1
7,Dried Basil,,43,1
8,Garlic Peeled,,71,4
