Id,Name,Measure,InventoryItemId,Quantity
0,Butter,,4,3
1,Salt,,49,0.25
2,Pepper,,48,0.25
3,Thyme,,44,0.25
4,Garlic Peeled,,71,1
5,Mushrooms,,59,27.25
