Id,Name,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Count,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
64,Fresh Basil,Produce,1lb,BAG,1,OZ-wt,16,0,1,8.99,1,3/8/2018 12:00:00 AM,0
66,Pineapple,Produce,6 COUNT,EACH,6,OZ-wt,44,1,100,16.99,1,3/8/2018 12:00:00 AM,0
71,Garlic Peeled,Produce,5lbs,JAR,1,OZ-wt,114.29,0,1,16.99,2,3/8/2018 12:00:00 AM,0
72,Chicken Breast,Poultry,40lb CASE,CASE,1,OZ-wt,640,1,85,42.53,4,3/8/2018 12:00:00 AM,0
73,Ground Beef,Meats,20lb CASE,LOG,2,EA,2,3,10000,23.33,3,3/1/2018 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,BAG,4,OZ-wt,160,11,91,47.5,3,3/8/2018 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,BAG,2,OZ-wt,80,0,1,51.99,1,3/8/2018 12:00:00 AM,0
77,Whole Wheat,Bread,EA,EACH,1,EA,1,0,1,0.67,0,,7
78,Biopack #4,Paper Goods,Case,Stack,4,Each,40,0,0.4,39.55,6,3/7/2018 12:00:00 AM,3
79,Water Cups,Paper Goods,2500,Sleeve,25,1,2500,19,1,80.16,1,2/28/2018 12:00:00 AM,3
80,Soufle Lids,Paper Goods,2500,Sleeve,25,1,1,4.4,1,24.37,1,3/7/2018 12:00:00 AM,3
81,Spoons,Paper Goods,1000,Sleeve,10,1,1,0,1,7,1,3/7/2018 12:00:00 AM,3
82,Forks,Paper Goods,1000,Sleeve,10,1,1,0,1,20.59,1,3/7/2018 12:00:00 AM,3
85,Wax Paper Sheets,Paper Goods,6000,Stack,6,1,1,0,1,54.65,1,3/7/2018 12:00:00 AM,3
86,Small To-Go Bags,Paper Goods,500,Case,1,1,1,0,1,16.21,1,3/7/2018 12:00:00 AM,3
87,Foil Roll,Paper Goods,ROLL,1,1,1,1,1.1,1,17.65,5,,2
89,To-Go Soup Bowls (16oz),Paper Goods,500,Sleeve,10,1,1,0,1,48.78,1,3/7/2018 12:00:00 AM,3
90,Paper Towels,Paper Goods,4000,Sleeve,16,1,1,0,1,16.11,1,2/28/2018 12:00:00 AM,3
91,To-Go Soup Lids,Paper Goods,500,Sleeve,10,1,1,0,1,42.68,1,3/7/2018 12:00:00 AM,3
92,To-Go Soup Bowls (12oz),Paper Goods,500,Sleeve,10,1,1,8,1,42.68,1,3/7/2018 12:00:00 AM,3
95,Napkins,Paper Goods,6000,Stack,12,1,1,0,1,43.23,1,2/28/2018 12:00:00 AM,3
97,Dried Black Beans,Grocery,50lbs,Quart,27.414,3.5,1,8,1,36.99,1,2/19/2018 12:00:00 AM,0
99,Cinnamon,Herbs,,LB,80,OZ-wt,1,71.2,1,18.02,1,12/11/2017 12:00:00 AM,2
100,Passion Syrup,Beverage,6/5.5lbs,5.5 lbs,6,CUP,7.65,10,1,60,0,,5
101,Allspice,Herbs,1lb,OZ-wt,16,TBL,1,41,1,8.02,0,,2
102,Black Tea,Beverage,(20 x 600g) CASE,BAG,20,CUP,5.88,14.5,1,110,0,,5
104,Honey,Beverage,5lbs,JAR,1,CUP,6.96,2.25,1,11.99,0,4/24/2017 15:47,6
106,24 Oz Cups,Paper Goods,600 COUNT,Sleeve,12,Each,1,10,1,64.75,1,2/28/2018 12:00:00 AM,3
107,Dried Pinto Beans,Grocery,25lb,Quart,14.47,8,8,27,10000,25.49,1,3/1/2018 12:00:00 AM,0
109,Sanitizer,Janitorial,4 GAL,GALLON,4,1,1,1.1,1,37.87,0,,3
110,Poly Gloves,Paper Goods,2000,BOX,4,1,1,0,1,15.8,2,3/7/2018 12:00:00 AM,3
111,Sourdough,Bread,EA,EACH,1,1,1,0,1,0.67,0,,7
112,Dried Garbanzo Beans,Grocery,25lb,QUART,13.318,LB,1.877,64.64,1,22.93,2,3/2/2018 12:00:00 AM,2
113,Crushed Red Pepper,Herbs,5lbs,OZ-wt,80,TBL,1,54.8,1,17.15,1,12/11/2017 12:00:00 AM,2
114,Sugar (CANE),Beverage,EA,QUART,16,CUP,1,8,1,30,0,,6
