Id,Date,GrossSales,SalesForecast,BreadDescDBString
41,6/24/2017 12:00:00 AM,0,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
42,6/25/2017 12:00:00 AM,1308.94,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
43,6/26/2017 12:00:00 AM,1391.04,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1,0,,0,
44,6/27/2017 12:00:00 AM,1221.77,1200,Name=Sourdough;BeginInventory=96;Delivery=96;Backup=64;FreezerCount=0;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=8;Delivery=56;Backup=32;ParFactor=50;Id=-1
45,6/28/2017 12:00:00 AM,1356.46,1400,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
46,6/29/2017 12:00:00 AM,1005.25,0,Name=Sourdough;BeginInventory=12;FreezerCount=16;Delivery=18;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
47,6/30/2017 12:00:00 AM,1301.6,0,Name=Sourdough;BeginInventory=12;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
48,7/1/2017 12:00:00 AM,1236.8,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
49,7/2/2017 12:00:00 AM,359.26,0,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
50,7/3/2017 12:00:00 AM,1348.71,1500,Name=Sourdough;BeginInventory=32;FreezerCount=104;Delivery=104;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=32;Backup=32;ParFactor=50;Id=-1
51,7/4/2017 12:00:00 AM,1470.21,1400,Name=Sourdough;BeginInventory=56;FreezerCount=64;Delivery=232;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=24;Backup=32;ParFactor=50;Id=-1
52,7/5/2017 12:00:00 AM,1047.4,1100,Name=Sourdough;BeginInventory=88;FreezerCount=88;Delivery=40;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=48;Backup=32;ParFactor=50;Id=-1
53,7/6/2017 12:00:00 AM,1108.25,1200,Name=Sourdough;BeginInventory=48;FreezerCount=88;Delivery=104;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=40;Delivery=0;Backup=32;ParFactor=50;Id=-1
54,7/7/2017 12:00:00 AM,752.14,1200,Name=Sourdough;BeginInventory=16;FreezerCount=88;Delivery=80;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=16;Backup=32;ParFactor=50;Id=-1
55,7/8/2017 12:00:00 AM,1513.93,1400,Name=Sourdough;BeginInventory=88;FreezerCount=56;Delivery=168;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=24;Delivery=16;Backup=32;ParFactor=50;Id=-1
56,7/9/2017 12:00:00 AM,1183.75,1200,Name=Sourdough;BeginInventory=64;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=0;Delivery=0;Backup=32;ParFactor=50;Id=-1
