Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,55.99,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
1,Cheddar,2,42.04,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
2,Pepper Jack,1,43.9,Dairy,CASE 20lb,4,5lb BAG,4,OZ-wt,80,1,2/22/2018 2:57:03 PM,0
4,Butter,1,85.88,Dairy,CASE 30lb,26,1lb,30,OZ-wt,16,1,2/19/2018 12:00:00 AM,0
5,Sour Cream,1,13.99,Dairy,2 x 5lb,1,GALLON,2,OZ-wt,16,1,2/26/2018 11:53:10 AM,0
13,Pizza Sauce,1,22,Grocery,6# CANS,3,CAN,6,EA,6,100,2/26/2018 11:53:10 AM,0
14,Stewed Tomatoes,1,15.79,Grocery,6# CANS,6,CAN,6,EA,1,1,2/22/2018 2:57:03 PM,0
21,Macaroni,4,19.82,Grocery,20lb CASE,4,BAG,2,EA,160,2.41,2/26/2018 11:53:10 AM,0
25,Tomato Juice,3,15.79,Grocery,12x48oz CANS,24,CAN,12,EA,1,1,3/11/2018 1:21:17 PM,0
34,Canola Oil,1,25.25,Grocery,35lb JUG,1.1,JUG,1,OZ-wt,800,99,2/19/2018 12:00:00 AM,0
36,Olive Oil,1,49.95,Grocery,6 GAL,8,JUG,6,OZ-fl,128,1,2/26/2018 11:53:10 AM,0
54,Yellow Onions,9,16.59,Produce,20lbs,7,BAG,4,OZ-wt,80,1,2/26/2018 11:53:10 AM,0
55,Red Onions,1,11.5,Produce,25lb,0.6,BAG,1,OZ-wt,400,8500,2/26/2018 11:53:10 AM,0
57,Spinach,3,16.5,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,2/26/2018 11:53:10 AM,0
58,Mixed Greens,2,5.99,Produce,3lb,0,BAG,1,OZ-wt,48,9800,2/26/2018 11:53:10 AM,0
59,Mushrooms,5,16.9,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,0.9,2/22/2018 2:57:03 PM,0
60,Cucumbers,1,23.07,Produce,36 COUNT,0.1,CASE,1,OZ-wt,420,950000,2/26/2018 11:53:10 AM,0
61,Tomatoes,1,16.71,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,2/26/2018 11:53:10 AM,0
64,Fresh Basil,1,8.99,Produce,1lb,0,BAG,1,OZ-wt,16,1,2/26/2018 11:53:10 AM,0
66,Pineapple,1,16.99,Produce,6 COUNT,1,EACH,6,OZ-wt,44,100,2/26/2018 11:53:10 AM,0
71,Garlic Peeled,2,16.99,Produce,5lbs,0,JAR,1,OZ-wt,114.29,1,2/26/2018 11:53:10 AM,0
72,Chicken Breast,4,42.53,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,2/26/2018 11:53:10 AM,0
74,Italian Sausage,3,47.5,Meats,20lb CASE,11,BAG,4,OZ-wt,160,91,2/26/2018 11:53:10 AM,0
75,Bacon Bits,1,51.99,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,3/11/2018 1:21:17 PM,0
