Id,Name,InventoryItemId,Measure,Quantity,IsBatch
0,Bread,,,1,FALSE
1,Hummus,,,3,TRUE
2,Grilled Onions,,,1.4,TRUE
3,Artichoke Hearts,,,0.8,FALSE
4,Kalamata Olives,,,0.6,FALSE
5,Feta Cheese,,,0.8,FALSE
6,Cucumbers,,,1,FALSE
7,Tomatoes,,,1.4,FALSE
8,Red Onions,,,0.6,FALSE
9,Mixed Greens,,,0.4,FALSE
10,Avocado,,,0.25,FALSE
11,Pesto Sauce,,,1,TRUE
12,Olive Oil Spread,,,1,TRUE
