01/11/18 - 18:24:56 - INFO - Application starting
01/11/18 - 18:24:56 - INFO - Loading models
01/11/18 - 18:24:59 - INFO - Models loaded
01/11/18 - 18:25:12 - INFO - Upating BreadOrder: 235
01/11/18 - 18:25:13 - INFO - Upating DailySale: 1
01/11/18 - 18:25:13 - INFO - Upating BreadOrder: 234
01/11/18 - 18:25:13 - INFO - Upating DailySale: 2
01/11/18 - 18:25:13 - INFO - Upating DailySale: 3
01/11/18 - 18:25:13 - INFO - Upating DailySale: 4
01/11/18 - 18:25:13 - INFO - Upating DailySale: 5
01/11/18 - 18:25:13 - INFO - Upating DailySale: 6
01/11/18 - 18:25:13 - INFO - Upating DailySale: 7
01/11/18 - 18:25:13 - INFO - Upating DailySale: 8
01/11/18 - 18:25:13 - INFO - Upating BreadOrder: 232
01/11/18 - 18:25:13 - INFO - Upating DailySale: 9
01/11/18 - 18:25:13 - INFO - Upating DailySale: 10
01/11/18 - 18:25:13 - INFO - Upating DailySale: 12
01/11/18 - 18:25:13 - INFO - Upating DailySale: 13
01/11/18 - 18:25:13 - INFO - Upating DailySale: 14
01/11/18 - 18:25:13 - INFO - Upating DailySale: 15
01/11/18 - 18:25:14 - INFO - Upating DailySale: 16
01/11/18 - 18:25:14 - INFO - Upating DailySale: 17
01/11/18 - 18:25:14 - INFO - Upating DailySale: 18
01/11/18 - 18:25:14 - INFO - Upating DailySale: 19
01/11/18 - 18:25:14 - INFO - Upating DailySale: 20
01/11/18 - 18:25:14 - INFO - Upating DailySale: 21
01/11/18 - 18:25:14 - INFO - Upating DailySale: 22
01/11/18 - 18:25:14 - INFO - Upating DailySale: 23
01/11/18 - 18:25:14 - INFO - Upating DailySale: 24
01/11/18 - 18:25:14 - INFO - Upating DailySale: 25
01/11/18 - 18:25:14 - INFO - Upating DailySale: 26
01/11/18 - 18:25:14 - INFO - Upating DailySale: 27
01/11/18 - 18:25:14 - INFO - Upating DailySale: 28
01/11/18 - 18:25:14 - INFO - Upating DailySale: 29
01/11/18 - 18:25:14 - INFO - Upating DailySale: 30
01/11/18 - 18:25:14 - INFO - Upating DailySale: 31
01/11/18 - 18:25:14 - INFO - Upating DailySale: 32
01/11/18 - 18:25:14 - INFO - Upating DailySale: 33
01/11/18 - 18:25:14 - INFO - Upating DailySale: 34
01/11/18 - 18:25:14 - INFO - Upating DailySale: 35
01/11/18 - 18:25:14 - INFO - Upating DailySale: 36
01/11/18 - 18:25:14 - INFO - Upating DailySale: 37
01/11/18 - 18:25:14 - INFO - Upating DailySale: 38
01/11/18 - 18:25:14 - INFO - Upating DailySale: 39
01/11/18 - 18:25:14 - INFO - Upating DailySale: 40
01/11/18 - 18:25:14 - INFO - Upating DailySale: 41
01/11/18 - 18:25:14 - INFO - Upating DailySale: 42
01/11/18 - 18:25:14 - INFO - Upating DailySale: 43
01/11/18 - 18:25:14 - INFO - Upating DailySale: 44
01/11/18 - 18:25:14 - INFO - Upating DailySale: 45
01/11/18 - 18:25:14 - INFO - Upating DailySale: 46
01/11/18 - 18:25:14 - INFO - Upating DailySale: 47
01/11/18 - 18:25:14 - INFO - Upating DailySale: 48
01/11/18 - 18:25:14 - INFO - Upating DailySale: 49
01/11/18 - 18:25:14 - INFO - Upating DailySale: 50
01/11/18 - 18:25:14 - INFO - Upating DailySale: 51
01/11/18 - 18:25:14 - INFO - Upating DailySale: 52
01/11/18 - 18:25:14 - INFO - Upating DailySale: 53
01/11/18 - 18:25:14 - INFO - Upating DailySale: 54
01/11/18 - 18:25:14 - INFO - Upating DailySale: 55
01/11/18 - 18:25:14 - INFO - Upating DailySale: 56
01/11/18 - 18:25:15 - INFO - Upating DailySale: 57
01/11/18 - 18:25:15 - INFO - Upating DailySale: 58
01/11/18 - 18:25:15 - INFO - Upating DailySale: 59
01/11/18 - 18:25:15 - INFO - Upating DailySale: 60
01/11/18 - 18:25:15 - INFO - Upating DailySale: 61
01/11/18 - 18:25:15 - INFO - Upating DailySale: 62
01/11/18 - 18:25:15 - INFO - Upating DailySale: 63
01/11/18 - 18:25:15 - INFO - Upating DailySale: 64
01/11/18 - 18:25:15 - INFO - Upating DailySale: 65
01/11/18 - 18:25:15 - INFO - Upating DailySale: 66
01/11/18 - 18:25:15 - INFO - Upating DailySale: 67
01/11/18 - 18:25:15 - INFO - Upating DailySale: 68
01/11/18 - 18:25:15 - INFO - Upating DailySale: 69
01/11/18 - 18:25:15 - INFO - Upating DailySale: 70
01/11/18 - 18:25:15 - INFO - Upating DailySale: 71
01/11/18 - 18:25:15 - INFO - Upating DailySale: 72
01/11/18 - 18:25:15 - INFO - Upating DailySale: 73
01/11/18 - 18:25:15 - INFO - Upating DailySale: 74
01/11/18 - 18:25:15 - INFO - Upating DailySale: 75
01/11/18 - 18:25:15 - INFO - Upating DailySale: 76
01/11/18 - 18:25:15 - INFO - Upating DailySale: 77
01/11/18 - 18:25:15 - INFO - Upating DailySale: 78
01/11/18 - 18:25:15 - INFO - Upating DailySale: 79
01/11/18 - 18:25:15 - INFO - Upating DailySale: 80
01/11/18 - 18:25:15 - INFO - Upating DailySale: 81
01/11/18 - 18:25:15 - INFO - Upating DailySale: 82
01/11/18 - 18:25:15 - INFO - Upating DailySale: 83
01/11/18 - 18:25:15 - INFO - Upating DailySale: 84
01/11/18 - 18:25:15 - INFO - Upating DailySale: 85
01/11/18 - 18:25:15 - INFO - Upating DailySale: 86
01/11/18 - 18:25:15 - INFO - Upating DailySale: 87
01/11/18 - 18:25:15 - INFO - Upating DailySale: 88
01/11/18 - 18:25:15 - INFO - Upating DailySale: 89
01/11/18 - 18:25:15 - INFO - Upating DailySale: 90
01/11/18 - 18:25:15 - INFO - Upating DailySale: 91
01/11/18 - 18:25:16 - INFO - Upating DailySale: 92
01/11/18 - 18:25:16 - INFO - Upating DailySale: 93
01/11/18 - 18:25:16 - INFO - Upating DailySale: 94
01/11/18 - 18:25:16 - INFO - Upating DailySale: 95
01/11/18 - 18:25:16 - INFO - Upating DailySale: 96
01/11/18 - 18:25:16 - INFO - Upating DailySale: 97
01/11/18 - 18:25:16 - INFO - Upating DailySale: 98
01/11/18 - 18:25:16 - INFO - Upating DailySale: 99
01/11/18 - 18:25:16 - INFO - Upating DailySale: 100
01/11/18 - 18:25:16 - INFO - Upating DailySale: 101
01/11/18 - 18:25:16 - INFO - Upating DailySale: 102
01/11/18 - 18:25:16 - INFO - Upating DailySale: 103
01/11/18 - 18:25:16 - INFO - Upating DailySale: 104
01/11/18 - 18:25:16 - INFO - Upating DailySale: 105
01/11/18 - 18:25:16 - INFO - Upating DailySale: 106
01/11/18 - 18:25:16 - INFO - Upating DailySale: 107
01/11/18 - 18:25:16 - INFO - Upating DailySale: 108
01/11/18 - 18:25:16 - INFO - Upating DailySale: 109
01/11/18 - 18:25:16 - INFO - Upating DailySale: 110
01/11/18 - 18:25:16 - INFO - Upating DailySale: 111
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 64
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 65
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 66
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 67
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 68
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 69
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 70
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 71
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 72
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 73
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 74
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 75
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 76
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 77
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 78
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 79
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 80
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 81
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 82
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 83
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 84
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 85
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 86
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 87
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 88
01/11/18 - 18:25:16 - INFO - Destroying DailySale: 89
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 90
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 91
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 92
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 93
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 94
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 95
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 96
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 97
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 98
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 99
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 100
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 101
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 102
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 103
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 104
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 105
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 106
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 107
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 108
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 109
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 110
01/11/18 - 18:25:17 - INFO - Destroying DailySale: 111
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 64
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 65
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 66
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 67
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 68
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 69
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 70
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 71
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 72
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 73
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 74
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 75
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 76
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 77
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 78
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 79
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 80
01/11/18 - 18:25:17 - INFO - Inserted DailySale: 81
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 82
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 83
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 84
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 85
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 86
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 87
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 88
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 89
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 90
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 91
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 92
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 93
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 94
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 95
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 96
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 97
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 98
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 99
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 100
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 101
01/11/18 - 18:25:18 - INFO - Inserted DailySale: 102
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 355
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 356
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 357
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 358
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 359
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 360
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 361
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 362
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 363
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 364
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 365
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 366
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 367
01/11/18 - 18:25:18 - INFO - Upating ExpenseItem: 368
01/11/18 - 18:25:19 - INFO - Upating ExpenseItem: 369
01/11/18 - 18:25:19 - INFO - Upating ExpenseItem: 370
01/11/18 - 18:25:19 - INFO - Upating ExpenseItem: 371
01/11/18 - 18:25:19 - INFO - Upating ExpenseItem: 372
01/11/18 - 18:27:07 - INFO - Changed to tab: Orders
01/11/18 - 18:27:19 - INFO - Executing OrderTabVM#MoveToReceivedOrders
01/11/18 - 18:27:19 - INFO - Upating PurchaseOrder: 161
01/11/18 - 18:27:19 - INFO - Changed to tab: Orders
01/11/18 - 18:27:20 - INFO - Changed to tab: Orders
01/11/18 - 18:27:33 - INFO - Upating PurchaseOrder: 161
01/11/18 - 18:27:33 - INFO - Upating PurchaseOrder: 161
01/11/18 - 18:27:33 - INFO - Changed to tab: Orders
01/11/18 - 18:27:35 - INFO - Changed to tab: Orders
01/11/18 - 18:27:35 - INFO - Changed to tab: Orders
01/11/18 - 18:27:37 - INFO - Executing MainViewModel#RefreshHelper
01/11/18 - 18:27:37 - INFO - Loading models
01/11/18 - 18:27:38 - INFO - Models loaded
01/11/18 - 18:27:40 - INFO - Changed to tab: Orders
01/11/18 - 18:27:40 - INFO - Changed to tab: Orders
01/11/18 - 18:27:46 - ERROR - Object reference not set to an instance of an object.
   at BuddhaBowls.UserControls.OrderTabControl.dataGrid_CellEditEnding(Object sender, DataGridCellEditEndingEventArgs e)
   at System.Windows.Controls.DataGrid.OnCellEditEnding(DataGridCellEditEndingEventArgs e)
   at System.Windows.Controls.DataGrid.OnExecutedCommitEdit(ExecutedRoutedEventArgs e)
   at System.Windows.Controls.DataGrid.OnExecutedCommitEdit(Object sender, ExecutedRoutedEventArgs e)
