03/08/18 - 10:29:37 - INFO - Application starting
03/08/18 - 10:29:37 - INFO - Loading models
03/08/18 - 10:29:38 - INFO - Models loaded
03/08/18 - 10:29:41 - INFO - Upating BreadOrder: 333
03/08/18 - 10:29:42 - INFO - Upating BreadOrder: 330
03/08/18 - 10:29:45 - INFO - Upating BreadOrder: 331
03/08/18 - 10:29:47 - INFO - Upating DailySale: 8
03/08/18 - 10:29:47 - INFO - Upating DailySale: 9
03/08/18 - 10:29:47 - INFO - Upating DailySale: 10
03/08/18 - 10:29:47 - INFO - Upating DailySale: 11
03/08/18 - 10:29:47 - INFO - Upating DailySale: 12
03/08/18 - 10:29:47 - INFO - Upating DailySale: 13
03/08/18 - 10:29:47 - INFO - Upating DailySale: 14
03/08/18 - 10:29:47 - INFO - Upating DailySale: 15
03/08/18 - 10:29:47 - INFO - Upating DailySale: 16
03/08/18 - 10:29:47 - INFO - Upating DailySale: 17
03/08/18 - 10:29:47 - INFO - Upating DailySale: 18
03/08/18 - 10:29:47 - INFO - Upating DailySale: 19
03/08/18 - 10:29:47 - INFO - Upating DailySale: 20
03/08/18 - 10:29:47 - INFO - Upating DailySale: 21
03/08/18 - 10:29:47 - INFO - Upating DailySale: 22
03/08/18 - 10:29:47 - INFO - Upating DailySale: 23
03/08/18 - 10:29:47 - INFO - Upating DailySale: 24
03/08/18 - 10:29:47 - INFO - Upating DailySale: 25
03/08/18 - 10:29:47 - INFO - Upating DailySale: 26
03/08/18 - 10:29:48 - INFO - Upating DailySale: 27
03/08/18 - 10:29:48 - INFO - Upating DailySale: 28
03/08/18 - 10:29:48 - INFO - Upating DailySale: 29
03/08/18 - 10:29:48 - INFO - Upating DailySale: 30
03/08/18 - 10:29:48 - INFO - Upating DailySale: 31
03/08/18 - 10:29:48 - INFO - Upating DailySale: 32
03/08/18 - 10:29:48 - INFO - Upating DailySale: 33
03/08/18 - 10:29:48 - INFO - Upating DailySale: 34
03/08/18 - 10:29:48 - INFO - Upating DailySale: 35
03/08/18 - 10:29:48 - INFO - Upating DailySale: 36
03/08/18 - 10:29:48 - INFO - Upating DailySale: 37
03/08/18 - 10:29:48 - INFO - Upating DailySale: 38
03/08/18 - 10:29:48 - INFO - Upating DailySale: 39
03/08/18 - 10:29:48 - INFO - Upating DailySale: 40
03/08/18 - 10:29:48 - INFO - Upating DailySale: 41
03/08/18 - 10:29:48 - INFO - Upating DailySale: 42
03/08/18 - 10:29:48 - INFO - Upating DailySale: 43
03/08/18 - 10:29:48 - INFO - Upating DailySale: 44
03/08/18 - 10:29:48 - INFO - Upating DailySale: 45
03/08/18 - 10:29:48 - INFO - Upating DailySale: 46
03/08/18 - 10:29:48 - INFO - Upating DailySale: 47
03/08/18 - 10:29:48 - INFO - Upating DailySale: 48
03/08/18 - 10:29:48 - INFO - Upating DailySale: 49
03/08/18 - 10:29:48 - INFO - Upating DailySale: 50
03/08/18 - 10:29:48 - INFO - Upating DailySale: 51
03/08/18 - 10:29:48 - INFO - Upating DailySale: 52
03/08/18 - 10:29:48 - INFO - Upating DailySale: 53
03/08/18 - 10:29:48 - INFO - Upating DailySale: 54
03/08/18 - 10:29:48 - INFO - Upating DailySale: 55
03/08/18 - 10:29:48 - INFO - Upating DailySale: 56
03/08/18 - 10:29:48 - INFO - Upating DailySale: 57
03/08/18 - 10:29:48 - INFO - Upating DailySale: 58
03/08/18 - 10:29:48 - INFO - Upating DailySale: 59
03/08/18 - 10:29:48 - INFO - Upating DailySale: 60
03/08/18 - 10:29:48 - INFO - Upating DailySale: 61
03/08/18 - 10:29:48 - INFO - Upating DailySale: 62
03/08/18 - 10:29:48 - INFO - Upating DailySale: 63
03/08/18 - 10:29:48 - INFO - Upating DailySale: 64
03/08/18 - 10:29:48 - INFO - Upating DailySale: 65
03/08/18 - 10:29:48 - INFO - Upating DailySale: 66
03/08/18 - 10:29:48 - INFO - Upating DailySale: 67
03/08/18 - 10:29:48 - INFO - Upating DailySale: 68
03/08/18 - 10:29:48 - INFO - Upating DailySale: 69
03/08/18 - 10:29:48 - INFO - Upating DailySale: 70
