11/04/17 - 14:26:52 - INFO - Application starting
11/04/17 - 14:26:52 - INFO - Loading models
11/04/17 - 14:26:54 - INFO - Models loaded
11/04/17 - 14:27:01 - INFO - Upating BreadOrder: 170
11/04/17 - 14:27:03 - INFO - Upating BreadOrder: 174
11/04/17 - 14:27:04 - INFO - Upating BreadOrder: 172
11/04/17 - 14:27:05 - INFO - Upating BreadOrder: 173
11/04/17 - 14:27:05 - INFO - Upating BreadOrder: 169
11/04/17 - 14:27:05 - INFO - Upating BreadOrder: 171
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 511
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 512
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 513
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 514
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 515
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 516
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 517
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 518
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 519
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 520
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 521
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 522
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 523
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 524
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 525
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 526
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 527
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 528
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 529
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 530
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 531
11/04/17 - 14:27:06 - INFO - Destroying DailySale: 532
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 511
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 512
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 513
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 514
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 515
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 516
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 517
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 518
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 519
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 520
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 521
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 522
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 523
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 524
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 525
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 526
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 527
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 528
11/04/17 - 14:27:06 - INFO - Inserted DailySale: 529
