02/08/18 - 11:08:39 - INFO - Application starting
02/08/18 - 11:08:39 - INFO - Loading models
02/08/18 - 11:08:40 - INFO - Models loaded
02/08/18 - 11:08:44 - INFO - Upating BreadOrder: 284
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Inventory
02/08/18 - 11:08:46 - INFO - Changed to tab: Orders
02/08/18 - 11:08:47 - INFO - Upating BreadOrder: 281
02/08/18 - 11:08:47 - INFO - Upating DailySale: 0
02/08/18 - 11:08:47 - INFO - Upating DailySale: 1
02/08/18 - 11:08:47 - INFO - Upating DailySale: 2
02/08/18 - 11:08:47 - INFO - Upating DailySale: 3
02/08/18 - 11:08:47 - INFO - Upating DailySale: 4
02/08/18 - 11:08:47 - INFO - Upating DailySale: 5
02/08/18 - 11:08:47 - INFO - Upating DailySale: 6
02/08/18 - 11:08:47 - INFO - Upating DailySale: 7
02/08/18 - 11:08:47 - INFO - Upating DailySale: 8
02/08/18 - 11:08:47 - INFO - Upating DailySale: 9
02/08/18 - 11:08:47 - INFO - Upating DailySale: 10
02/08/18 - 11:08:47 - INFO - Upating DailySale: 11
02/08/18 - 11:08:47 - INFO - Upating DailySale: 12
02/08/18 - 11:08:48 - INFO - Upating DailySale: 13
02/08/18 - 11:08:48 - INFO - Upating DailySale: 14
02/08/18 - 11:08:48 - INFO - Upating DailySale: 15
02/08/18 - 11:08:48 - INFO - Upating DailySale: 16
