11/11/17 - 12:34:33 - INFO - Application starting
11/11/17 - 12:34:33 - INFO - Loading models
11/11/17 - 12:34:34 - INFO - Models loaded
11/11/17 - 12:34:39 - INFO - Upating BreadOrder: 190
11/11/17 - 12:34:40 - INFO - Upating BreadOrder: 191
11/11/17 - 12:34:41 - INFO - Upating BreadOrder: 192
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1819
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1820
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1821
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1822
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1823
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1824
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1825
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1826
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1827
11/11/17 - 12:34:42 - INFO - Upating BreadOrder: 195
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1828
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1829
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1830
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1831
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1832
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1833
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1834
11/11/17 - 12:34:42 - INFO - Destroying DailySale: 1835
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1819
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1820
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1821
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1822
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1823
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1824
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1825
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1826
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1827
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1828
11/11/17 - 12:34:42 - INFO - Inserted DailySale: 1829
11/11/17 - 12:34:42 - INFO - Upating BreadOrder: 193
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1830
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1831
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1832
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1833
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1834
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1835
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1836
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1837
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1838
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1839
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1840
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1841
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1842
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1843
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1844
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1845
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1846
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1847
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1848
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1849
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1850
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1851
11/11/17 - 12:34:43 - INFO - Upating BreadOrder: 194
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1852
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1853
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1854
11/11/17 - 12:34:43 - INFO - Inserted DailySale: 1855
11/11/17 - 12:34:44 - INFO - Inserted DailySale: 1856
11/11/17 - 12:34:47 - INFO - Upating ExpenseItem: 22
11/11/17 - 12:34:47 - INFO - Upating ExpenseItem: 23
11/11/17 - 12:34:47 - INFO - Upating ExpenseItem: 24
11/11/17 - 12:34:48 - INFO - Upating ExpenseItem: 25
11/11/17 - 12:34:48 - INFO - Upating ExpenseItem: 26
11/11/17 - 12:34:48 - INFO - Upating ExpenseItem: 27
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 9
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 10
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 11
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 31
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 32
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 33
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 15
11/11/17 - 12:34:50 - INFO - Upating ExpenseItem: 16
