Id,Name,InventoryItemId,Measure,Quantity,IsBatch
0,Butter,,1 lb,16,FALSE
1,Cream,,8 Cups,8,FALSE
2,Canned Clams,,1.5 Cans,1.5,FALSE
3,Clam Juice,,2 Cans,2,FALSE
4,Flour,,6 Cups,6,FALSE
5,Thyme,,3 TBL,3,FALSE
6,Pepper,,3 TBL,3,FALSE
7,Salt,,6 TBL,6,FALSE
8,Old Bay Seasoning,,1.5 TBL,1.5,FALSE
9,Yellow Onions,,1/2 Pan,100,FALSE
10,Potatoes,,2 (1/6) Pans,120,FALSE
11,Celery,,2 Bunches,2,FALSE
