Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,69.75,6,CASE 30lb,Dairy,7,5lb BAG,OZ-wt,480,1,1,,0
1,Cheddar,47,4,CASE 20lb,Dairy,9,5lb BAG,OZ-wt,320,1,2,,0
2,Pepper Jack,45.55,4,CASE 20lb,Dairy,2,5lb BAG,OZ-wt,320,1,1,,0
3,Feta,28,1,10lb CASE,Dairy,1.5,5lb BAG,OZ-wt,160,100,1,,0
4,Butter,81.25,30,CASE 30lb,Dairy,30,1lb,OZ-wt,480,1,1,,0
5,Sour Cream,12.5,2,2 x 5lb,Dairy,2,5lb BUCKET,OZ-wt,160,95,1,,0
6,Heavy Cream,5.99,1,1/2 Gallon,Dairy,3,1/2 GALLON,CUP,48,1000000,3,,6
8,Eggs,17.5,6,15 DOZEN,Dairy,5,TRAY,EA,180,95,1,,0
9,Whole Milk,5.39,2,2 GALLON,Dairy,20,GALLON,CUP,32,100,16,,6
11,Pesto,106,2,2/22lb,Dairy,1,BAG,OZ-wt,4,970000,1,,0
13,Pizza Sauce,20.95,6,6# CANS,Grocery,8,CAN,EA,6,100,1,,0
14,Stewed Tomatoes,14.97,6,6# CANS,Grocery,4,CAN,EA,6,100,1,,0
18,Artichoke Hearts,43.95,6,6# CANS,Grocery,14,CAN,OZ-wt,324,10000,2,,2
19,Mayonnaise,23.79,4,4 GAL,Grocery,1,JUG,EA,4,10000,1,,0
20,BBQ Sauce,42.34,4,CS 39.5lbs,Grocery,3,JUG,OZ-wt,632,9800,1,,0
21,Macaroni,17.75,2,20lb CASE,Grocery,13,BAG,EA,320,241,12,,0
23,Roasted Bell Peppers,37.44,6,6# CANS,Grocery,6,CAN,OZ-wt,360,98,1,,0
24,Chopped Clams,87.27,12,12x48oz CANS,Grocery,46,CAN,EA,12,100,2,,2
25,Tomato Juice,15.79,12,12x48oz CANS,Grocery,30,CAN,EA,12,100,3,,0
26,Clam Juice,31.18,12,12x48oz CANS,Grocery,27,CAN,EA,12,100,3,,2
30,Balsamic Vinegar,17.95,2,2 x 5 Liter,Grocery,3.25,JUG,OZ-wt,169.07,100,1,,2
31,Tapatio,11.5,12,EA,Grocery,17,BOTTLE,EA,12,10000,1,,2
32,Sriracha,25.89,12,12x17oz,Grocery,0,BOTTLE,EA,12,100,1,,0
33,Chicken Broth,45.13,4,4x32oz,Grocery,4,BOTTLE,OZ-wt,1,100,1,,0
34,Canola Oil,23.17,1,35lb JUG,Grocery,0.5,JUG,OZ-wt,800,99,1,,0
35,Canola Oil Bottles,1.27,1,EA,Grocery,0,BOTTLE,OZ-fl,1,100,0,,0
36,Olive Oil,50.8,6,6 GAL,Grocery,3.25,JUG,OZ-fl,768,99,1,,0
38,Sugar (BROWN),13.88,16,25lb,Grocery,22,QUART,CUP,62.5,10000,0,,6
40,Tahini,60.09,1,40lbs,Grocery,1.1,LB,OZ-wt,640,9800,1,,2
41,Kalamata Olives,63.94,6,6x4.4lbs,Grocery,9,JAR,OZ-wt,64.8,10000,2,,2
42,Lemon Juice,16.69,4,1 Gal,Grocery,6,GAL,OZ-wt,128,100,1,,2
43,Dried Basil,11.91,12,12oz,Herbs,67.8,OZ-wt,TBL,274.29,100,0,,0
44,Thyme,31.1,16,1lb,Herbs,40.4,OZ-wt,TBL,243.81,100,1,,0
45,Oregano,16.79,28,1.75,Herbs,59.6,OZ-wt,TBL,232.73,100,0,,0
46,Cumin,17.79,80,4.5lbs,Herbs,151,OZ-wt,TBL,360,100,1,,2
47,Cayenne Pepper,17.45,80,5lbs,Herbs,57.2,OZ-wt,TBL,1,1,0,,0
48,Pepper,43.72,80,5lbs,Herbs,120.6,OZ-wt,TBL,312.2,100,1,,2
49,Salt,5.9,1,EA,Herbs,1,Container,TBL,615,100,1,,0
50,Chili Powder,24.41,96,6lbs,Herbs,118.8,OZ-wt,TBL,78.05,100,1,,2
51,Paprika,16.65,80,5lbs,Herbs,134,OZ-wt,TBL,36.96,1E+08,1,,2
52,Old Bay Seasoning,68,6,6/24oz,Herbs,1.5,JAR,TBL,1,100,0,,0
54,Yellow Onions,16.59,1,50lb,Produce,0,BAG,OZ-wt,800,85,3,,0
55,Red Onions,10.89,1,25lb,Produce,0.5,BAG,OZ-wt,400,8500,1,,0
56,Potatoes,11.3,1,50lb,Produce,0.25,1/2 CASE,OZ-wt,800,850000,1,,0
57,Spinach,15.75,4,4x2.5lb,Produce,1,BAG,OZ-wt,160,99,2,,0
58,Mixed Greens,5.99,1,3lb,Produce,1,BAG,OZ-wt,48,9800,1,,0
59,Mushrooms,18,1,10lb CASE,Produce,0,FLAT,OZ-wt,160,95,4,,0
60,Cucumbers,17.99,1,36 COUNT,Produce,1,CASE,OZ-wt,420,950000,1,,0
61,Tomatoes,12.75,1,25lb,Produce,0.5,CASE,OZ-wt,400,97,1,,0
62,Avocado,48.5,60,60 COUNT,Produce,0,EACH,EA,24,10000,1,,0
63,Celery,38,24,24 COUNT,Produce,0,1/2 CASE,BUNCH,12,100,1,,0
64,Fresh Basil,8.3,1,1lb,Produce,1.1,BAG,OZ-wt,16,65,1,,0
65,Jalapenos,22.89,1,40lbs,Produce,0.5,BAG,OZ-wt,32,95,1,,0
66,Pineapple,16.99,6,6 COUNT,Produce,11,EACH,OZ-wt,44,100,1,,0
71,Garlic Peeled,18,1,5lbs,Produce,1,JAR,OZ-wt,114.29,98,1,,0
72,Chicken Breast,76.55,1,40lb CASE,Poultry,0,CASE,OZ-wt,640,85,4,,0
73,Ground Beef,32,2,20lb CASE,Meats,3,LOG,EA,2,10000,1,,0
74,Italian Sausage,45.5,4,20lb CASE,Meats,7,BAG,OZ-wt,160,91,2,,0
75,Bacon Bits,51.32,2,10lb CASE,Meats,2,BAG,OZ-wt,160,100,2,,0
77,Whole Wheat,0.73,1,EA,Bread,40,EACH,EA,1,1000000,0,,7
78,Biopack #4,39.55,4,Case,Paper Goods,16,Stack,Each,40,4E+07,5,,3
79,Water Cups,66.31,25,2500,Paper Goods,26,Sleeve,1,2500,10000,1,,3
80,Soufle Lids,26.35,25,2500,Paper Goods,11,Sleeve,1,1,100,1,,3
81,Spoons,7,10,1000,Paper Goods,10,Sleeve,1,1,10000,1,,3
82,Forks,20.59,10,1000,Paper Goods,13,Sleeve,1,1,10000,2,,3
85,Wax Paper Sheets,54.65,6,6000,Paper Goods,1,Stack,1,1,10000,1,,3
86,Small To-Go Bags,14.88,1,500,Paper Goods,0.3,Case,1,1,100,1,,3
87,Foil Roll,22.77,1,ROLL,Paper Goods,1,1,1,1,1E+08,1,,3
89,To-Go Soup Bowls (16oz),48.78,10,500,Paper Goods,8,Sleeve,1,1,1000000,1,,3
90,Paper Towels,16.11,16,4000,Paper Goods,15,Sleeve,1,1,1E+08,1,,3
91,To-Go Soup Lids,42.68,10,500,Paper Goods,9,Sleeve,1,1,1E+08,1,,3
92,To-Go Soup Bowls (12oz),42.68,10,500,Paper Goods,7,Sleeve,1,1,10000,0,,3
95,Napkins,45.46,12,6000,Paper Goods,3.5,Stack,1,1,10000,1,,3
97,Dried Black Beans,41.35,27.414,50lbs,Grocery,9,Quart,3.5,1,100,1,,0
99,Cinnamon,16.14,80,,Herbs,90.2,LB,OZ-wt,1,1,1,,2
100,Passion Syrup,60,6,6/5.5lbs,Beverage,9.5,5.5 lbs,CUP,7.65,100,0,,5
101,Allspice,8.02,16,1lb,Herbs,31.2,OZ-wt,TBL,1,1000000,1,,2
102,Black Tea,110,20,(20 x 600g) CASE,Beverage,31,BAG,CUP,5.88,100,0,,5
104,Honey,88.5,6,6/5lbs,Beverage,2.4,JAR,CUP,6.96,100,0,,6
106,24 Oz Cups,58.86,12,600 COUNT,Paper Goods,15,Sleeve,Each,1,10000,1,,3
107,Dried Pinto Beans,14.3,14.47,25lb,Grocery,10,Quart,8,8,10000,1,,0
108,Grill Bricks,13.2,12,12 EA,Janitorial,14,BRICK,1,1,10000,1,,3
109,Sanitizer,59.9,4,4 GAL,Janitorial,1.4,GALLON,1,1,100,0,,3
110,Poly Gloves,15.8,4,2000,Paper Goods,17,BOX,1,1,100,1,,3
111,Sourdough,0.73,1,EA,Bread,136,EACH,1,1,100,0,,7
112,Dried Garbanzo Beans,23.8,13.318,25lb,Grocery,30,QUART,LB,1.877,1000000,2,,2
