Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,55.49,6,CASE 30lb,Dairy,0,5lb BAG,OZ-wt,80,1,2,2/12/2018 12:00:00 AM,0
1,Cheddar,41.84,4,CASE 20lb,Dairy,8,5lb BAG,OZ-wt,80,1,2,2/12/2018 12:00:00 AM,0
2,Pepper Jack,42.85,4,CASE 20lb,Dairy,4,5lb BAG,OZ-wt,80,1,0,2/6/2018 11:33:43 AM,0
3,Feta,49.74,1,33lbs,Dairy,1.5,5lb BAG,OZ-wt,160,1,1,2/11/2018 12:00:00 AM,2
4,Butter,84.99,30,CASE 30lb,Dairy,18,1lb,OZ-wt,16,1,1,,6
5,Sour Cream,13.99,2,2 x 5lb,Dairy,2,GALLON,OZ-wt,16,1,1,2/8/2018 12:00:00 AM,0
6,Heavy Cream,5.99,1,1/2 Gallon,Dairy,4,1/2 GALLON,CUP,8,1,3,2/2/2018 12:40:38 PM,6
8,Eggs,31.83,6,15 DOZEN,Dairy,3.7,TRAY,EA,180,95,1,2/8/2018 12:00:00 AM,0
9,Whole Milk,4.99,2,2 GALLON,Dairy,18,GALLON,CUP,16,1,28,,6
11,Pesto,107.99,2,2/22lb,Dairy,2,BAG,OZ-wt,4,970000,1,2/12/2018 12:00:00 AM,0
13,Pizza Sauce,22,6,6# CANS,Grocery,6,CAN,EA,6,100,1,2/12/2018 12:00:00 AM,0
14,Stewed Tomatoes,15.79,6,6# CANS,Grocery,9,CAN,EA,1,1,1,2/6/2018 11:33:43 AM,0
18,Artichoke Hearts,43.87,6,6# CANS,Grocery,2,CAN,OZ-wt,324,10000,5,2/14/2018 12:00:00 AM,0
19,Mayonnaise,26.89,4,4 GAL,Grocery,0,JUG,EA,4,10000,1,2/12/2018 12:00:00 AM,0
20,BBQ Sauce,39.94,4,CS 39.5lbs,Grocery,7,JUG,OZ-wt,632,9800,1,2/11/2018 12:00:00 AM,2
21,Macaroni,13.32,2,2lb,Grocery,4,BAG,EA,160,2.41,4,1/21/2018 12:00:00 AM,0
23,Roasted Bell Peppers,29.13,6,6# CANS,Grocery,6,CAN,OZ-wt,360,98,10,2/14/2018 12:00:00 AM,0
24,Chopped Clams,91.55,12,12x48oz CANS,Grocery,7,CAN,EA,1,1,0,,0
25,Tomato Juice,27,12,12x48oz CANS,Grocery,17,CAN,EA,1,1,2,1/21/2018 12:00:00 AM,0
26,Clam Juice,31.37,12,12x48oz CANS,Grocery,16,CAN,EA,1,1,0,,2
30,Balsamic Vinegar,18.5,2,2 x 5 Liter,Grocery,1.5,JUG,OZ-wt,169.07,100,1,2/11/2018 12:00:00 AM,2
31,Tapatio,12.84,12,EA,Grocery,35,BOTTLE,EA,12,10000,2,2/11/2018 12:00:00 AM,2
32,Sriracha,18.5,12,12x17oz,Grocery,31,BOTTLE,EA,12,100,2,2/11/2018 12:00:00 AM,2
33,Chicken Broth,35.99,4,4x32oz,Grocery,4,BOTTLE,OZ-wt,1,100,0,,2
34,Canola Oil,25.05,1,35lb JUG,Grocery,0.45,JUG,OZ-wt,800,99,1,2/12/2018 12:00:00 AM,0
36,Olive Oil,49.95,6,6 GAL,Grocery,11.5,JUG,OZ-fl,128,1,1,2/12/2018 12:00:00 AM,0
38,Sugar (BROWN),13.88,16,25lb,Grocery,4,QUART,CUP,62.5,10000,0,,6
40,Tahini,58.3,1,40lbs,Grocery,0.9,Container,OZ-wt,640,1,1,12/11/2017 12:00:00 AM,2
41,Kalamata Olives,47.18,6,6x4.4lbs,Grocery,6,JAR,OZ-wt,64.8,10000,3,2/11/2018 12:00:00 AM,2
42,Lemon Juice,16.72,4,1 Gal,Grocery,4.6,GAL,OZ-wt,128,100,1,2/14/2018 12:00:00 AM,0
43,Dried Basil,9.81,24,12oz,Herbs,45.8,OZ-wt,TBL,274.29,1,1,12/11/2017 12:00:00 AM,2
44,Thyme,13.34,32,2 lbs,Herbs,24.6,OZ-wt,TBL,243.81,100,2,2/11/2018 12:00:00 AM,2
45,Oregano,13.9,24,1.5lbs,Herbs,28.2,OZ-wt,TBL,9.697,1,1,2/11/2018 12:00:00 AM,2
46,Cumin,17.47,80,5lbs,Herbs,79.4,OZ-wt,TBL,5,1,1,12/11/2017 12:00:00 AM,2
47,Cayenne Pepper,21.46,80,5lbs,Herbs,44.4,OZ-wt,TBL,1,1,1,12/11/2017 12:00:00 AM,2
48,Pepper,25.15,80,5lbs,Herbs,59.6,OZ-wt,TBL,3.9,1,3,2/11/2018 12:00:00 AM,2
49,Salt,5.9,1,EA,Herbs,0.2,Container,TBL,615,1,0,1/29/2018 12:00:00 AM,0
50,Chili Powder,24.43,96,6lbs,Herbs,78,OZ-wt,TBL,78.05,100,1,2/11/2018 12:00:00 AM,2
51,Paprika,16.67,80,5lbs,Herbs,99.2,OZ-wt,TBL,36.96,1E+08,1,2/11/2018 12:00:00 AM,2
54,Yellow Onions,13,1,50lb,Produce,2,BAG,OZ-wt,80,1,7,1/21/2018 12:00:00 AM,0
55,Red Onions,9.15,1,25lb,Produce,0.5,BAG,OZ-wt,400,8500,1,1/21/2018 12:00:00 AM,0
56,Potatoes,12.7,1,50lb,Produce,1.1,1/2 CASE,OZ-wt,800,1,1,1/17/2018 12:00:00 AM,0
57,Spinach,13.65,4,4x2.5lb,Produce,6,BAG,OZ-wt,160,99,2,1/21/2018 12:00:00 AM,0
58,Mixed Greens,7.8,1,3lb,Produce,1,BAG,OZ-wt,48,9800,2,1/21/2018 12:00:00 AM,0
59,Mushrooms,19.65,1,10lb CASE,Produce,0,FLAT,OZ-wt,160,95,5,1/21/2018 12:00:00 AM,0
60,Cucumbers,17.75,1,36 COUNT,Produce,1,CASE,OZ-wt,420,950000,1,1/21/2018 12:00:00 AM,0
61,Tomatoes,15.3,1,25lb,Produce,0.5,CASE,OZ-wt,400,0.95,1,1/21/2018 12:00:00 AM,0
62,Avocado,41.05,60,60 COUNT,Produce,60,EACH,EA,24,10000,0,,1
63,Celery,28.35,1,24 COUNT,Produce,0.5,1/2 CASE,BUNCH,1,1,0,,1
64,Fresh Basil,8.3,1,1lb,Produce,1,BAG,OZ-wt,16,1,0,2/6/2018 11:33:43 AM,0
66,Pineapple,16.65,6,6 COUNT,Produce,8,EACH,OZ-wt,44,100,1,1/21/2018 12:00:00 AM,0
71,Garlic Peeled,18.63,1,5lbs,Produce,1,JAR,OZ-wt,114.29,0.98,1,1/17/2018 12:00:00 AM,0
72,Chicken Breast,79,1,40lb CASE,Poultry,0,CASE,OZ-wt,640,85,3,1/21/2018 12:00:00 AM,0
73,Ground Beef,25.42,2,20lb CASE,Meats,1,LOG,EA,2,10000,0,,2
74,Italian Sausage,17.54,2,10lb CASE,Meats,6.5,BAG,OZ-wt,160,91,2,1/21/2018 12:00:00 AM,0
75,Bacon Bits,53.49,2,10lb CASE,Meats,4,BAG,OZ-wt,80,1,3,1/21/2018 12:00:00 AM,0
77,Whole Wheat,0.67,1,EA,Bread,0,EACH,EA,1,1,0,,7
78,Biopack #4,79,4,Case,Paper Goods,10,Stack,Each,40,4E+07,0,,3
79,Water Cups,57.52,25,2500,Paper Goods,9,Sleeve,1,2500,10000,0,,3
80,Soufle Lids,26.35,25,2500,Paper Goods,17,Sleeve,1,1,100,1,1/24/2018 12:00:00 AM,3
81,Spoons,7,10,1000,Paper Goods,12,Sleeve,1,1,10000,1,2/7/2018 11:52:55 AM,3
82,Forks,20.59,10,1000,Paper Goods,11,Sleeve,1,1,10000,1,2/7/2018 11:52:55 AM,3
85,Wax Paper Sheets,54.65,6,6000,Paper Goods,3,Stack,1,1,10000,1,2/7/2018 11:52:55 AM,3
86,Small To-Go Bags,16.21,1,500,Paper Goods,0.9,Case,1,1,100,1,1/31/2018 1:35:33 PM,3
87,Foil Roll,17.65,1,ROLL,Paper Goods,0.7,1,1,1,1E+08,5,2/11/2018 12:00:00 AM,2
89,To-Go Soup Bowls (16oz),48.78,10,500,Paper Goods,9,Sleeve,1,1,1000000,1,2/7/2018 11:52:55 AM,3
90,Paper Towels,16.11,16,4000,Paper Goods,19,Sleeve,1,1,1E+08,1,2/7/2018 11:52:55 AM,3
91,To-Go Soup Lids,42.68,10,500,Paper Goods,12,Sleeve,1,1,1E+08,1,2/7/2018 11:52:55 AM,3
92,To-Go Soup Bowls (12oz),42.68,10,500,Paper Goods,10.5,Sleeve,1,1,10000,1,4/24/2017 3:47:00 PM,3
95,Napkins,43.23,12,6000,Paper Goods,16,Stack,1,1,10000,1,2/7/2018 11:52:55 AM,3
97,Dried Black Beans,41.35,27.414,50lbs,Grocery,8,Quart,3.5,1,100,0,,2
99,Cinnamon,18.02,80,5lbs,Herbs,63,LB,OZ-wt,1,1,1,12/11/2017 12:00:00 AM,2
100,Passion Syrup,60,6,6/5.5lbs,Beverage,6.5,5.5 lbs,CUP,7.65,100,0,,5
101,Allspice,8.02,16,1lb,Herbs,35.6,OZ-wt,TBL,1,1000000,0,,2
102,Black Tea,110,20,(20 x 600g) CASE,Beverage,3.1,BAG,CUP,5.88,100,0,,5
104,Honey,11.99,1,5lbs,Beverage,3,JAR,CUP,6.96,100,0,,6
106,24 Oz Cups,64.75,12,600 COUNT,Paper Goods,11.5,Sleeve,Each,1,10000,1,4/25/2017 4:46:00 PM,3
107,Dried Pinto Beans,14.3,14.47,25lb,Grocery,20,Quart,8,8,10000,0,,0
109,Sanitizer,37.87,4,4 GAL,Janitorial,0.9,GALLON,1,1,100,0,,3
110,Poly Gloves,34.1,10,5000,Paper Goods,10,BOX,1,1,100,0,,3
111,Sourdough,0.67,1,EA,Bread,0,EACH,1,1,1,0,,7
112,Dried Garbanzo Beans,26.99,13.318,25lb,Grocery,38,QUART,LB,1.88,1,1,2/12/2018 12:00:00 AM,0
113,Crushed Red Pepper,17.15,56,3.5lb,Herbs,52,OZ-wt,TBL,1,1000000,1,12/11/2017 12:00:00 AM,2
114,Sugar (CANE),30,16,EA,Beverage,8,QUART,CUP,1,1E+12,0,,6
115,16/24 Oz Lids,25.51,10,1000 CASE,Paper Goods,11,Sleeve,1,1,100,1,,3
116,Straws,10.06,4,2000,Paper Goods,2,BOX,1,1,100,1,12/5/2017 12:00:00 AM,3
117,16 Oz Cups,54.75,20,1000 CASE,Paper Goods,21.5,Sleeve,1,1,100,1,,3
118,Large To-Go Bags,52.81,1,500,Paper Goods,35,BAG,1,1,100,0,,3
119,Soufle Cups,26.35,25,2500,Paper Goods,7,Sleeve,1,1,100,1,1/24/2018 12:00:00 AM,3
120,Ceramawrap,10.54,1,2000,Paper Goods,1.6,EACH,1,1,100,1,2/7/2018 11:52:55 AM,3
121,Die-Cut To-Go Bags,60.34,1,500,Paper Goods,1,CASE,1,1,100,1,1/31/2018 1:35:33 PM,3
122,Garbage Bags,28.62,1,250,Janitorial,0.9,CASE,1,1,100,1,1/24/2018 12:00:00 AM,3
123,Detergent,21.02,4,5 GAL,Janitorial,0.7,GALLON,1,1,100,2,12/11/2017 12:00:00 AM,2
124,De-Greaser,5.53,4,1 Gal,Janitorial,3,GALLON,1,1,100,4,12/11/2017 12:00:00 AM,2
125,Bleach,8,4,4 GAL,Janitorial,1,GALLON,1,1,100,1,1/16/2018 12:00:00 AM,3
126,Steel Wool,4.77,12,12 COUNT,Janitorial,5,Sleeve,1,1,100,1,12/5/2017 12:00:00 AM,3
127,Floor Cleaner,24.26,3,3 GAL,Janitorial,2,1 GAL,1,1,1,0,,2
128,Bay Leaves,10.48,16,16oz,Herbs,19.2,OZ-wt,OZ-wt,1,1,1,12/11/2017 12:00:00 AM,2
129,Lemonade Base,21.11,4,EA,Beverage,3.8,GALLON,1,16,,1.75,2/11/2018 12:00:00 AM,2
130,Pink Lemonade Base,22.23,4,4 GAL,Beverage,1.7,GALLON,1,1,,4,2/11/2018 12:00:00 AM,2
131,Jalapenos Nacho Sliced,19.99,6,EA,Grocery,4,CAN,OZ-wt,1,,1,2/12/2018 12:00:00 AM,0
132,Grill Screens,0,0,,Janitorial,84,Sleeve,EA,1,1,0,,-1
133,Grill Pads,0,0,,Janitorial,40,Sleeve,1,1,1,0,,-1
