Id,LastVendorId,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
86,3,Small To-Go Bags,Paper Goods,500,0.5,Case,1,1,1,100,14.88,1,
87,2,Foil Roll,Paper Goods,ROLL,1,1,1,1,1,1E+08,17.99,1,
89,3,To-Go Soup Bowls (16oz),Paper Goods,500,7,Sleeve,10,1,1,1000000,48.78,1,
90,3,Paper Towels,Paper Goods,4000,15,Sleeve,16,1,1,1E+08,16.11,1,
91,3,To-Go Soup Lids,Paper Goods,500,11,Sleeve,10,1,1,1E+08,42.68,1,
92,3,To-Go Soup Bowls (12oz),Paper Goods,500,6,Sleeve,10,1,1,10000,42.68,1,
95,3,Napkins,Paper Goods,6000,9,Stack,12,1,1,10000,45.46,1,
97,0,Dried Black Beans,Grocery,50lbs,21,Quart,27.414,3.5,1,100,41.35,1,
99,2,Cinnamon,Herbs,,85.4,LB,80,OZ-wt,1,1,16.14,1,
100,5,Passion Syrup,Beverage,6/5.5lbs,29,5.5 lbs,6,CUP,7.65,100,60,0,
101,2,Allspice,Herbs,1lb,29.4,OZ-wt,16,TBL,1,1000000,8.02,1,
102,5,Black Tea,Beverage,(20 x 600g) CASE,25.5,BAG,20,CUP,5.88,100,110,0,
104,6,Honey,Beverage,6/5lbs,2.5,JAR,6,CUP,6.96,100,88.5,0,
106,3,24 Oz Cups,Paper Goods,600 COUNT,6,Sleeve,12,Each,1,10000,58.86,1,
107,0,Dried Pinto Beans,Grocery,25lb,38,Quart,14.47,8,8,10000,28.69,1,
108,3,Grill Bricks,Janitorial,12 EA,2,BRICK,12,1,1,10000,13.2,1,
109,2,Sanitizer,Janitorial,4 GAL,1.25,GALLON,4,1,1,100,37.87,1,
110,3,Poly Gloves,Paper Goods,2000,14,BOX,4,1,1,100,15.8,2,
111,7,Sourdough,Bread,EA,88,EACH,1,1,1,100,0.76,0,
112,2,Dried Garbanzo Beans,Grocery,25lb,26.5,QUART,13.318,LB,1.877,1000000,23.8,2,
