Id,Name,Count,Category,PurchasedUnit,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
86,Small To-Go Bags,0.3,Paper Goods,500,Case,1,1,1,100,14.88,1,,3
87,Foil Roll,1,Paper Goods,ROLL,1,1,1,1,1E+08,22.77,1,,3
89,To-Go Soup Bowls (16oz),8,Paper Goods,500,Sleeve,10,1,1,1000000,48.78,1,,3
90,Paper Towels,8,Paper Goods,4000,Sleeve,16,1,1,1E+08,16.11,1,,3
91,To-Go Soup Lids,15,Paper Goods,500,Sleeve,10,1,1,1E+08,42.68,1,,3
92,To-Go Soup Bowls (12oz),11,Paper Goods,500,Sleeve,10,1,1,10000,42.68,1,,3
95,Napkins,7,Paper Goods,6000,Stack,12,1,1,10000,45.46,1,,3
97,Dried Black Beans,27,Grocery,50lbs,Quart,27.414,3.5,1,100,41.35,1,,0
99,Cinnamon,88,Herbs,,LB,80,OZ-wt,1,1,16.14,1,,2
100,Passion Syrup,4,Beverage,6/5.5lbs,5.5 lbs,6,CUP,7.65,100,60,0,,5
101,Allspice,30.2,Herbs,1lb,OZ-wt,16,TBL,1,1000000,8.02,1,,2
102,Black Tea,28.5,Beverage,(20 x 600g) CASE,BAG,20,CUP,5.88,100,110,0,,5
104,Honey,2.5,Beverage,6/5lbs,JAR,6,CUP,6.96,100,88.5,0,,6
106,24 Oz Cups,9,Paper Goods,600 COUNT,Sleeve,12,Each,1,10000,58.86,1,,3
107,Dried Pinto Beans,23,Grocery,25lb,Quart,14.47,8,8,10000,14.3,1,,0
108,Grill Bricks,7,Janitorial,12 EA,BRICK,12,1,1,10000,13.2,1,,3
109,Sanitizer,3.5,Janitorial,4 GAL,GALLON,4,1,1,100,59.9,0,,3
110,Poly Gloves,19,Paper Goods,2000,BOX,4,1,1,100,15.8,2,,3
111,Sourdough,60,Bread,EA,EACH,1,1,1,100,0.73,0,,7
112,Dried Garbanzo Beans,14,Grocery,25lb,QUART,13.318,LB,1.877,1000000,23.8,2,,2
113,Crushed Red Pepper,62.6,Herbs,5lbs,OZ-wt,80,TBL,1,1000000,17.15,1,,2
114,Sugar (CANE),17,Beverage,EA,QUART,16,CUP,1,1E+12,30,0,,6
115,16/24 Oz Lids,12,Paper Goods,1000 CASE,Sleeve,10,1,1,100,23.19,1,,3
116,Straws,1.1,Paper Goods,2000,BOX,4,1,1,100,10.06,1,,3
117,16 Oz Cups,21,Paper Goods,1000 CASE,Sleeve,20,1,1,100,54.75,1,,3
118,Large To-Go Bags,0.5,Paper Goods,500,BAG,1,1,1,100,52.81,0,,3
119,Soufle Cups,4,Paper Goods,2500,Sleeve,25,1,1,100,26.35,1,,3
120,Ceramawrap,0,Paper Goods,2000,EACH,1,1,1,100,10.26,1,,3
121,Die-Cut To-Go Bags,0.4,Paper Goods,500,CASE,1,1,1,100,55.35,1,,3
122,Garbage Bags,1.4,Janitorial,250,CASE,1,1,1,100,28.62,1,,3
123,Detergent,2,Janitorial,4 GAL,GALLON,4,1,1,100,16.2,1,,3
124,De-Greaser,3,Janitorial,4 GAL,GALLON,4,1,1,100,15.72,1,,3
125,Bleach,2.75,Janitorial,4 GAL,GALLON,4,1,1,100,8,1,,3
126,Steel Wool,14,Janitorial,12 COUNT,Sleeve,12,1,1,100,4.77,1,,3
127,Fabuloso,2,Janitorial,3 GAL,1 GAL,3,1,1,,24.26,0,,2
