Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,6,5lb BAG,6,OZ-wt,480,1,69.48,2,,0
1,Cheddar,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,320,1,45.95,3,,0
2,Pepper Jack,Dairy,CASE 20lb,2,5lb BAG,4,OZ-wt,320,1,42.45,1,,0
3,Feta,Dairy,10lb CASE,0.2,5lb BAG,1,OZ-wt,160,100,28,1,,0
4,Butter,Dairy,CASE 30lb,26,1lb,30,OZ-wt,480,1,77.3,1,,0
5,Sour Cream,Dairy,2 x 5lb,1,5lb BUCKET,2,OZ-wt,160,95,12.5,1,,0
6,Heavy Cream,Dairy,1/2 Gallon,6,1/2 GALLON,1,CUP,48,1000000,5.99,1,,6
8,Eggs,Dairy,15 DOZEN,3.6,TRAY,6,EA,180,95,16.95,1,,0
9,Whole Milk,Dairy,2 GALLON,18,GALLON,2,CUP,32,100,5.29,1,,6
11,Pesto,Dairy,2/22lb,0,BAG,2,OZ-wt,4,970000,106,1,,0
13,Pizza Sauce,Grocery,6# CANS,5,CAN,6,EA,6,100,20.95,1,,0
14,Stewed Tomatoes,Grocery,6# CANS,8,CAN,6,EA,6,100,14.97,1,,0
18,Artichoke Hearts,Grocery,6# CANS,6,CAN,6,OZ-wt,324,10000,55.37,1,,0
19,Mayonnaise,Grocery,4 GAL,2,JUG,4,EA,4,10000,23.77,1,,0
20,BBQ Sauce,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,42.34,1,,0
21,Macaroni,Grocery,20lb CASE,2,BAG,2,EA,320,241,17.75,4,,0
23,Roasted Bell Peppers,Grocery,6# CANS,3,CAN,6,OZ-wt,360,98,37.44,1,,0
24,Chopped Clams,Grocery,12x48oz CANS,34,CAN,12,EA,12,100,115.5,2,,0
25,Tomato Juice,Grocery,12x48oz CANS,22,CAN,12,EA,12,100,15.79,2,,0
26,Clam Juice,Grocery,12x48oz CANS,7,CAN,12,EA,12,100,33.79,2,,0
30,Balsamic Vinegar,Grocery,2 x 5 Liter,1.4,JUG,2,OZ-wt,169.07,100,31.19,0,,0
31,Tapatio,Grocery,EA,9,BOTTLE,12,EA,12,10000,18.99,0,,0
32,Sriracha,Grocery,12x17oz,5,BOTTLE,12,EA,12,100,25.89,0,,0
33,Chicken Broth,Grocery,4x32oz,1,BOTTLE,4,OZ-wt,1,100,45.13,0,,0
34,Canola Oil,Grocery,35lb JUG,0.5,JUG,1,OZ-wt,800,99,22.87,1,,0
35,Canola Oil Bottles,Grocery,EA,0,BOTTLE,1,OZ-fl,1,100,1.27,0,,0
36,Olive Oil,Grocery,6 GAL,0.5,JUG,6,OZ-fl,768,99,50.8,2,,0
37,Flour,Grocery,25lb,0.4,BAG,1,CUP,66.67,10000,6.88,1,,0
38,Sugar (BROWN),Grocery,25lb,4,QUART,16,CUP,62.5,10000,13.88,0,,6
40,Tahini,Grocery,40lbs,0.2,LB,1,OZ-wt,640,9800,60.69,1,,2
41,Kalamata Olives,Grocery,6x4.4lbs,0,JAR,6,OZ-wt,64.8,10000,63.94,1,,0
