Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
64,Fresh Basil,8.99,1,1lb,Produce,0.6,BAG,OZ-wt,16,1,1,2/26/2018 11:53:10 AM,0
66,Pineapple,16.99,6,6 COUNT,Produce,0,EACH,OZ-wt,44,100,2,2/26/2018 11:53:10 AM,0
71,Garlic Peeled,16.99,1,5lbs,Produce,1,JAR,OZ-wt,114.29,1,1,2/26/2018 11:53:10 AM,0
72,Chicken Breast,42.53,1,40lb CASE,Poultry,1,CASE,OZ-wt,640,85,2,2/26/2018 11:53:10 AM,0
73,Ground Beef,21.355,2,20lb CASE,Meats,4,LOG,EA,2,10000,4,,2
74,Italian Sausage,47.5,4,20lb CASE,Meats,3,BAG,OZ-wt,160,91,3,2/26/2018 11:53:10 AM,0
75,Bacon Bits,49.99,2,10lb CASE,Meats,1,BAG,OZ-wt,80,1,3,2/26/2018 11:53:10 AM,0
77,Whole Wheat,0.67,1,EA,Bread,0,EACH,EA,1,1,0,,7
78,Biopack #4,39.55,4,Case,Paper Goods,14,Stack,Each,40,0.4,7,2/20/2018 2:03:05 PM,3
79,Water Cups,80.16,25,2500,Paper Goods,30,Sleeve,1,2500,1,1,2/14/2018 12:00:00 AM,3
80,Soufle Lids,24.37,25,2500,Paper Goods,3,Sleeve,1,1,1,1,1/24/2018 12:00:00 AM,3
81,Spoons,7,10,1000,Paper Goods,1.1,Sleeve,1,1,1,1,2/14/2018 12:00:00 AM,3
82,Forks,20.59,10,1000,Paper Goods,0.4,Sleeve,1,1,1,1,2/21/2018 12:00:00 AM,3
85,Wax Paper Sheets,54.65,6,6000,Paper Goods,0,Stack,1,1,1,1,2/21/2018 12:00:00 AM,3
86,Small To-Go Bags,16.21,1,500,Paper Goods,1.2,Case,1,1,1,1,2/14/2018 12:00:00 AM,3
87,Foil Roll,17.65,1,ROLL,Paper Goods,5,1,1,1,1,0,,3
89,To-Go Soup Bowls (16oz),48.78,10,500,Paper Goods,2.5,Sleeve,1,1,1,1,2/21/2018 12:00:00 AM,3
90,Paper Towels,16.11,16,4000,Paper Goods,23,Sleeve,1,1,1,1,2/21/2018 12:00:00 AM,3
91,To-Go Soup Lids,42.68,10,500,Paper Goods,4,Sleeve,1,1,1,1,2/21/2018 12:00:00 AM,3
92,To-Go Soup Bowls (12oz),42.68,10,500,Paper Goods,5,Sleeve,1,1,1,1,4/24/2017 3:47:00 PM,3
95,Napkins,43.23,12,6000,Paper Goods,29,Stack,1,1,1,1,2/21/2018 12:00:00 AM,3
97,Dried Black Beans,36.99,27.414,50lbs,Grocery,22,Quart,3.5,1,100,1,2/19/2018 12:00:00 AM,0
99,Cinnamon,18.02,80,5lbs,Herbs,140.4,LB,OZ-wt,1,1,0,12/11/2017 12:00:00 AM,2
100,Passion Syrup,60,6,6/5.5lbs,Beverage,15.5,5.5 lbs,CUP,7.65,1,0,,5
101,Allspice,8.02,16,1lb,Herbs,34.6,OZ-wt,TBL,1,1,0,,2
102,Black Tea,110,20,(20 x 600g) CASE,Beverage,26.4,BAG,CUP,5.88,1,0,,5
104,Honey,11.99,1,5lbs,Beverage,3.7,JAR,CUP,6.96,1,0,,6
106,24 Oz Cups,64.75,12,600 COUNT,Paper Goods,14,Sleeve,Each,1,1,1,4/25/2017 4:46:00 PM,3
107,Dried Pinto Beans,28.69,14.47,25lb,Grocery,38,Quart,8,8,10000,0,1/24/2018 12:00:00 AM,0
109,Sanitizer,93.83,4,4 GAL,Janitorial,0.5,GALLON,1,1,1,0,,3
110,Poly Gloves,15.8,4,2000,Paper Goods,3,BOX,1,1,1,3,2/21/2018 12:00:00 AM,3
111,Sourdough,0.67,1,EA,Bread,0,EACH,1,1,1,0,,7
112,Dried Garbanzo Beans,22.93,13.318,25lb,Grocery,64.64,QUART,LB,1.877,1,0,2/15/2018 2:38:32 PM,0
113,Crushed Red Pepper,17.15,56,3.5lb,Herbs,107.2,OZ-wt,TBL,1,1,0,12/11/2017 12:00:00 AM,2
114,Sugar (CANE),30,16,EA,Beverage,2,QUART,CUP,1,1,0,,6
115,16/24 Oz Lids,25.51,10,1000 CASE,Paper Goods,2,Sleeve,1,1,1,1,,3
116,Straws,10.06,4,2000,Paper Goods,4,BOX,1,1,1,1,12/5/2017 12:00:00 AM,3
117,16 Oz Cups,54.75,20,1000 CASE,Paper Goods,12,Sleeve,1,1,1,1,,3
118,Large To-Go Bags,52.81,1,500,Paper Goods,1.2,BAG,1,1,1,1,2/14/2018 12:00:00 AM,3
119,Soufle Cups,28.99,25,2500,Paper Goods,18,Sleeve,1,1,1,1,1/24/2018 12:00:00 AM,3
120,Ceramawrap,10.54,1,2000,Paper Goods,1.5,EACH,1,1,1,1,2/7/2018 11:52:55 AM,3
121,Die-Cut To-Go Bags,60.34,1,500,Paper Goods,0.3,CASE,1,1,1,1,2/14/2018 12:00:00 AM,3
122,Garbage Bags,28.62,1,250,Janitorial,1.5,CASE,1,1,1,1,2/14/2018 12:00:00 AM,3
123,Detergent,21.02,1,5 GAL,Janitorial,0.4,GALLON,1,1,1,0,12/11/2017 12:00:00 AM,2
124,De-Greaser,70,4,4 GAL,Janitorial,7,GALLON,1,1,1,1,2/21/2018 12:00:00 AM,3
125,Bleach,8,4,4 GAL,Janitorial,5,GALLON,1,1,1,1,2/21/2018 12:00:00 AM,3
