Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,9,5lb BAG,6,OZ-wt,480,1,68.99,1,,0
1,Cheddar,Dairy,CASE 20lb,4,5lb BAG,4,OZ-wt,320,1,45.89,1,,0
2,Pepper Jack,Dairy,CASE 20lb,1,5lb BAG,4,OZ-wt,320,1,46.75,1,,0
3,Feta,Dairy,10lb CASE,1.25,5lb BAG,1,OZ-wt,160,100,28,1,,0
4,Butter,Dairy,CASE 30lb,26,1lb,30,OZ-wt,480,1,91.85,1,,0
5,Sour Cream,Dairy,2 x 5lb,0,5lb BUCKET,2,OZ-wt,160,95,12.5,1,,0
6,Heavy Cream,Dairy,1/2 Gallon,0.5,1/2 GALLON,1,CUP,48,1000000,5.99,4,,6
8,Eggs,Dairy,15 DOZEN,4,TRAY,6,EA,180,95,16.98,1,,0
9,Whole Milk,Dairy,4 GAL,0,GALLON,4,CUP,32,100,14.5,2,,0
11,Pesto,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,1,,0
13,Pizza Sauce,Grocery,6# CANS,5,CAN,6,EA,6,100,21.4,1,,0
14,Stewed Tomatoes,Grocery,6# CANS,7,CAN,6,EA,6,100,14.97,1,,0
18,Artichoke Hearts,Grocery,6# CANS,2,CAN,6,OZ-wt,324,10000,55.37,1,,0
19,Mayonnaise,Grocery,4 GAL,2,JUG,4,EA,4,10000,25.36,1,,0
20,BBQ Sauce,Grocery,CS 39.5lbs,3,JUG,4,OZ-wt,632,9800,42.34,1,,0
21,Macaroni,Grocery,20lb CASE,3,BAG,2,EA,320,241,17.69,1,,0
23,Roasted Bell Peppers,Grocery,6# CANS,1,CAN,6,OZ-wt,360,98,37.44,1,,0
24,Chopped Clams,Grocery,12x48oz CANS,19,CAN,12,EA,12,100,87.27,2,,2
25,Tomato Juice,Grocery,12x48oz CANS,31,CAN,12,EA,12,100,15.79,1,,0
26,Clam Juice,Grocery,12x48oz CANS,34,CAN,12,EA,12,100,33.79,0,,0
30,Balsamic Vinegar,Grocery,2 x 5 Liter,2.1,JUG,2,OZ-wt,169.07,100,17.95,1,,2
31,Tapatio,Grocery,EA,10,BOTTLE,12,EA,12,10000,11.5,1,,2
32,Sriracha,Grocery,12x17oz,3,BOTTLE,12,EA,12,100,25.89,1,,0
33,Chicken Broth,Grocery,4x32oz,4,BOTTLE,4,OZ-wt,1,100,45.13,1,,0
34,Canola Oil,Grocery,35lb JUG,0.4,JUG,1,OZ-wt,800,99,23.75,1,,0
36,Olive Oil,Grocery,6 GAL,7.2,JUG,6,OZ-fl,768,99,50.8,1,,0
38,Sugar (BROWN),Grocery,25lb,17,QUART,16,CUP,62.5,10000,13.88,0,,6
40,Tahini,Grocery,40lbs,0.6,LB,1,OZ-wt,640,9800,60.09,1,,2
41,Kalamata Olives,Grocery,6x4.4lbs,2,JAR,6,OZ-wt,64.8,10000,63.94,2,,2
42,Lemon Juice,Grocery,1 Gal,4.5,GAL,4,OZ-wt,128,100,16.69,1,,2
43,Dried Basil,Herbs,12oz,57.8,OZ-wt,12,TBL,274.29,100,11.91,0,,0
44,Thyme,Herbs,1lb,82.6,OZ-wt,16,TBL,243.81,100,31.1,1,,0
45,Oregano,Herbs,1.75,18.4,OZ-wt,28,TBL,232.73,100,16.79,0,,0
46,Cumin,Herbs,4.5lbs,141.4,OZ-wt,80,TBL,360,100,17.79,1,,2
47,Cayenne Pepper,Herbs,5lbs,55.4,OZ-wt,80,TBL,1,1,17.45,0,,0
48,Pepper,Herbs,5lbs,40.2,OZ-wt,80,TBL,312.2,100,43.72,1,,2
49,Salt,Herbs,EA,0.9,Container,1,TBL,615,100,5.9,1,,0
50,Chili Powder,Herbs,6lbs,62.6,OZ-wt,96,TBL,78.05,100,24.41,1,,2
51,Paprika,Herbs,5lbs,113.4,OZ-wt,80,TBL,36.96,1E+08,16.65,1,,2
54,Yellow Onions,Produce,50lb,0,BAG,1,OZ-wt,800,85,14.99,2,,0
55,Red Onions,Produce,25lb,1,BAG,1,OZ-wt,400,8500,13.49,1,,0
56,Potatoes,Produce,50lb,1.5,1/2 CASE,1,OZ-wt,800,850000,11.59,1,,0
57,Spinach,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.79,2,,0
58,Mixed Greens,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,1,,0
59,Mushrooms,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,18.99,2,,0
60,Cucumbers,Produce,36 COUNT,0.3,CASE,1,OZ-wt,420,950000,19.99,1,,0
61,Tomatoes,Produce,25lb,1.1,CASE,1,OZ-wt,400,97,11.99,1,,0
62,Avocado,Produce,60 COUNT,19,EACH,60,EA,24,10000,53.9,1,,0
63,Celery,Produce,24 COUNT,5,1/2 CASE,24,BUNCH,12,100,35.93,1,,0
64,Fresh Basil,Produce,1lb,1,BAG,1,OZ-wt,16,65,8.99,1,,0
65,Jalapenos,Produce,40lbs,0.9,BAG,1,OZ-wt,32,95,29.95,1,,0
66,Pineapple,Produce,6 COUNT,7,EACH,6,OZ-wt,44,100,16.99,1,,0
71,Garlic Peeled,Produce,5lbs,1,JAR,1,OZ-wt,114.29,98,17.95,1,,0
72,Chicken Breast,Poultry,40lb CASE,1,CASE,1,OZ-wt,640,85,73.95,1,,0
73,Ground Beef,Meats,20lb CASE,1,LOG,2,EA,2,10000,32,1,,0
74,Italian Sausage,Meats,20lb CASE,6.5,BAG,4,OZ-wt,160,91,45.79,1,,0
75,Bacon Bits,Meats,10lb CASE,4,BAG,2,OZ-wt,160,100,50.99,1,,0
77,Whole Wheat,Bread,EA,56,EACH,1,EA,1,1000000,0.76,0,,7
78,Biopack #4,Paper Goods,Case,15,Stack,4,Each,40,4E+07,39.55,4,,3
79,Water Cups,Paper Goods,2500,25,Sleeve,25,1,2500,10000,73.7,1,,3
80,Soufle Lids,Paper Goods,2500,13,Sleeve,25,1,1,100,26.35,1,,3
81,Spoons,Paper Goods,1000,15,Sleeve,10,1,1,10000,7,1,,3
82,Forks,Paper Goods,1000,13,Sleeve,10,1,1,10000,20.59,1,,3
85,Wax Paper Sheets,Paper Goods,6000,4,Stack,6,1,1,10000,54.65,1,,3
86,Small To-Go Bags,Paper Goods,500,0.75,Case,1,1,1,100,14.88,1,,3
87,Foil Roll,Paper Goods,ROLL,1,1,1,1,1,1E+08,22.77,1,,3
89,To-Go Soup Bowls (16oz),Paper Goods,500,10,Sleeve,10,1,1,1000000,48.78,1,,3
90,Paper Towels,Paper Goods,4000,9,Sleeve,16,1,1,1E+08,16.11,1,,3
91,To-Go Soup Lids,Paper Goods,500,8,Sleeve,10,1,1,1E+08,42.68,1,,3
