Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
21,Macaroni,Grocery,20lb CASE,22,BAG,2,EA,160,2.41,19.82,4,3/8/2018 12:00:00 AM,0
23,Roasted Bell Peppers,Grocery,6# CANS,69,CAN,6,OZ-wt,63.5,1,37.94,1,3/5/2018 10:48:08 AM,2
24,Chopped Clams,Grocery,12x48oz CANS,5,CAN,12,EA,1,1,91.55,1,3/1/2018 12:00:00 AM,0
25,Tomato Juice,Grocery,12x48oz CANS,39,CAN,12,EA,1,1,15.79,3,3/8/2018 12:00:00 AM,0
26,Clam Juice,Grocery,12x48oz CANS,9,CAN,12,EA,1,1,31.37,0,,0
30,Balsamic Vinegar,Grocery,2 x 5 Liter,3.2,JUG,2,OZ-wt,169.07,1,18.5,1,,2
31,Tapatio,Grocery,EA,37,BOTTLE,12,EA,12,1,12.84,1,3/2/2018 12:00:00 AM,2
32,Sriracha,Grocery,12x17oz,35,BOTTLE,12,EA,12,1,18.88,1,3/2/2018 12:00:00 AM,2
33,Chicken Broth,Grocery,4x32oz,2,BOTTLE,4,OZ-wt,1,1,35.99,0,,2
34,Canola Oil,Grocery,35lb JUG,1.3,JUG,1,OZ-wt,800,99,25.25,1,3/8/2018 12:00:00 AM,0
36,Olive Oil,Grocery,6 GAL,8.5,JUG,6,OZ-fl,128,1,49.95,1,3/8/2018 12:00:00 AM,0
38,Sugar (BROWN),Grocery,25lb,10,QUART,16,CUP,62.5,1,13.88,0,,6
40,Tahini,Grocery,40lbs,1.3,Container,1,OZ-wt,640,1,58.45,1,3/2/2018 12:00:00 AM,2
41,Kalamata Olives,Grocery,6x4.4lbs,19,JAR,6,OZ-wt,64.8,1,47.18,1,3/2/2018 12:00:00 AM,2
42,Lemon Juice,Grocery,4 GAL,3,GAL,4,OZ-wt,128,1,16.72,1,2/15/2018 2:38:32 PM,0
43,Dried Basil,Herbs,12oz,42.6,OZ-wt,24,TBL,274.29,1,9.81,1,12/11/2017 12:00:00 AM,2
44,Thyme,Herbs,2 lbs,127,OZ-wt,32,TBL,243.81,1,13.34,2,2/11/2018 12:00:00 AM,2
45,Oregano,Herbs,1.5lbs,105.4,OZ-wt,24,TBL,9.697,1,13.9,1,2/11/2018 12:00:00 AM,2
46,Cumin,Herbs,5lbs,142.8,OZ-wt,80,TBL,5,1,17.47,1,12/11/2017 12:00:00 AM,2
47,Cayenne Pepper,Herbs,5lbs,122.6,OZ-wt,80,TBL,1,1,21.46,1,12/11/2017 12:00:00 AM,2
48,Pepper,Herbs,5lbs,460.6,OZ-wt,80,TBL,3.9,1,25.15,3,2/11/2018 12:00:00 AM,2
49,Salt,Herbs,EA,0.4,Container,1,TBL,615,1,5.9,1,3/1/2018 12:00:00 AM,0
50,Chili Powder,Herbs,6lbs,222,OZ-wt,96,TBL,78.05,1,24.43,1,,2
51,Paprika,Herbs,5lbs,239,OZ-wt,80,TBL,36.96,1,16.67,1,2/11/2018 12:00:00 AM,2
54,Yellow Onions,Produce,20lbs,7,BAG,4,OZ-wt,80,1,16.59,9,3/8/2018 12:00:00 AM,0
55,Red Onions,Produce,25lb,0.9,BAG,1,OZ-wt,400,8500,11.5,1,3/8/2018 12:00:00 AM,0
56,Potatoes,Produce,50lb,0.3,1/2 CASE,1,OZ-wt,800,0.85,17.89,1,3/5/2018 12:00:00 AM,0
57,Spinach,Produce,4x2.5lb,6,BAG,4,OZ-wt,160,99,16.5,3,3/8/2018 12:00:00 AM,0
58,Mixed Greens,Produce,3lb,0,BAG,1,OZ-wt,48,9800,5.99,2,3/8/2018 12:00:00 AM,0
59,Mushrooms,Produce,10lb CASE,2,FLAT,1,OZ-wt,160,0.9,26.95,2,3/11/2018 1:25:25 PM,10
60,Cucumbers,Produce,36 COUNT,0.9,CASE,1,OZ-wt,420,950000,23.07,1,3/8/2018 12:00:00 AM,0
61,Tomatoes,Produce,25lb,0,CASE,1,OZ-wt,400,0.95,16.71,1,3/8/2018 12:00:00 AM,0
62,Avocado,Produce,60 COUNT,36,EACH,60,EA,24,10000,27.5,1,1/17/2018 3:42:46 PM,0
63,Celery,Produce,24 COUNT,8,1/2 CASE,24,BUNCH,1,1,28.35,1,2/22/2018 2:57:03 PM,0
64,Fresh Basil,Produce,1lb,0.5,BAG,1,OZ-wt,16,1,8.99,1,3/8/2018 12:00:00 AM,0
66,Pineapple,Produce,6 COUNT,0,EACH,6,OZ-wt,44,100,16.99,1,3/8/2018 12:00:00 AM,0
71,Garlic Peeled,Produce,5lbs,1,JAR,1,OZ-wt,114.29,1,16.99,2,3/8/2018 12:00:00 AM,0
72,Chicken Breast,Poultry,40lb CASE,0,CASE,1,OZ-wt,640,85,42.53,4,3/8/2018 12:00:00 AM,0
73,Ground Beef,Meats,20lb CASE,1,LOG,2,EA,2,10000,23.33,3,3/1/2018 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,20,BAG,4,OZ-wt,160,91,47.5,3,3/8/2018 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,0,BAG,2,OZ-wt,80,1,51.99,1,3/8/2018 12:00:00 AM,0
77,Whole Wheat,Bread,EA,0,EACH,1,EA,1,1,0.67,0,,7
78,Biopack #4,Paper Goods,Case,9,Stack,4,Each,40,0.4,39.55,6,3/7/2018 12:00:00 AM,3
79,Water Cups,Paper Goods,2500,18,Sleeve,25,1,2500,1,80.16,1,3/5/2018 10:44:47 AM,3
80,Soufle Lids,Paper Goods,2500,2.1,Sleeve,25,1,1,1,24.37,1,3/7/2018 12:00:00 AM,3
81,Spoons,Paper Goods,1000,14,Sleeve,10,1,1,1,7,1,3/7/2018 12:00:00 AM,3
82,Forks,Paper Goods,1000,5,Sleeve,10,1,1,1,20.59,1,3/7/2018 12:00:00 AM,3
