Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,3,5lb BAG,6,OZ-wt,480,1,66.85,2,4/24/2017 3:47:35 PM,0
1,Cheddar,Dairy,CASE 20lb,8,5lb BAG,4,OZ-wt,320,1,43.49,1,2/22/2017 7:09:16 PM,0
2,Pepper Jack,Dairy,CASE 20lb,2,5lb BAG,4,OZ-wt,320,1,42.45,1,12/28/2016 11:52:00 AM,0
3,Feta,Dairy,33lbs,1,5lb BAG,1,OZ-wt,160,100,57.53,1,4/24/2017 3:47:35 PM,2
4,Butter,Dairy,CASE 30lb,25,1lb,30,OZ-wt,480,1,76.99,1,2/22/2017 7:09:16 PM,0
5,Sour Cream,Dairy,2 x 5lb,1,5lb BUCKET,2,OZ-wt,160,95,12.4,0,4/24/2017 3:47:35 PM,0
6,Heavy Cream,Dairy,6 1/2 Gallon,8,1/2 GALLON,6,CUP,48,1000000,35.95,1,4/24/2017 3:47:35 PM,0
8,Eggs,Dairy,15 DOZEN,5,TRAY,6,EA,180,95,16.5,1,4/24/2017 3:47:35 PM,0
9,Whole Milk,Dairy,2 GALLON,16,GALLON,2,CUP,32,100,5.29,1,2/22/2017 7:09:16 PM,6
11,Pesto,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,1,2/22/2017 7:09:16 PM,0
13,Pizza Sauce,Grocery,6# CANS,5,CAN,6,EA,6,100,20.95,2,4/24/2017 3:47:35 PM,0
14,Stewed Tomatoes,Grocery,6# CANS,4,CAN,6,EA,6,100,14.97,3,4/24/2017 3:47:35 PM,0
18,Artichoke Hearts,Grocery,6# CANS,3,CAN,6,OZ-wt,324,10000,46.35,1,12/28/2016 11:52:00 AM,2
19,Mayonnaise,Grocery,4 GAL,3,JUG,4,EA,4,10000,23.77,1,4/24/2017 3:47:35 PM,0
20,BBQ Sauce,Grocery,CS 39.5lbs,2,JUG,4,OZ-wt,632,9800,42.34,1,4/24/2017 3:47:35 PM,0
21,Macaroni,Grocery,20lb CASE,4,BAG,2,EA,320,241,17.75,4,4/24/2017 3:47:35 PM,0
23,Roasted Bell Peppers,Grocery,6# CANS,0,CAN,6,OZ-wt,360,98,37.44,2,4/24/2017 3:47:35 PM,0
24,Chopped Clams,Grocery,12x48oz CANS,47,CAN,12,EA,12,100,84,2,4/24/2017 3:47:35 PM,2
25,Tomato Juice,Grocery,12x48oz CANS,29,CAN,12,EA,12,100,15.79,1,2/22/2017 7:09:16 PM,0
26,Clam Juice,Grocery,12x48oz CANS,33,CAN,12,EA,12,100,31.18,2,4/24/2017 3:47:35 PM,2
30,Balsamic Vinegar,Grocery,2 x 5 Liter,1.9,JUG,2,OZ-wt,169.07,100,31.19,0,4/24/2017 3:47:35 PM,0
31,Tapatio,Grocery,EA,11,BOTTLE,12,EA,12,10000,18.99,0,4/24/2017 3:47:35 PM,0
32,Sriracha,Grocery,12x17oz,9,BOTTLE,12,EA,12,100,25.89,0,4/24/2017 3:47:35 PM,0
33,Chicken Broth,Grocery,4x32oz,3,BOTTLE,4,OZ-wt,1,100,45.13,0,4/24/2017 3:47:35 PM,0
34,Canola Oil,Grocery,35lb JUG,0.5,JUG,1,OZ-wt,800,99,22.87,1,4/24/2017 3:47:35 PM,0
