Id,Name,LastOrderAmount,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastPurchasedDate,LastVendorId
87,Foil Roll,0,Paper Goods,ROLL,4,1,1,1,1,1E+08,17.99,,2
89,To-Go Soup Bowls (16oz),1,Paper Goods,500,5,Sleeve,10,1,1,1000000,48.78,,3
90,Paper Towels,0,Paper Goods,4000,13,Sleeve,16,1,1,1E+08,16.11,,3
91,To-Go Soup Lids,1,Paper Goods,500,7,Sleeve,10,1,1,1E+08,42.68,,3
92,To-Go Soup Bowls (12oz),1,Paper Goods,500,8,Sleeve,10,1,1,10000,42.68,,3
95,Napkins,1,Paper Goods,6000,8,Stack,12,1,1,10000,45.46,,3
97,Dried Black Beans,0,Grocery,50lbs,4,Quart,27.414,3.5,1,100,41.35,,2
99,Cinnamon,0,Herbs,,71.2,LB,80,OZ-wt,1,1,16.14,,2
100,Passion Syrup,0,Beverage,6/5.5lbs,10,5.5 lbs,6,CUP,7.65,100,60,,5
101,Allspice,0,Herbs,1lb,41,OZ-wt,16,TBL,1,1000000,8.02,,2
102,Black Tea,0,Beverage,(20 x 600g) CASE,14.5,BAG,20,CUP,5.88,100,110,,5
104,Honey,0,Beverage,5lbs,2.25,JAR,1,CUP,6.96,100,11.99,,6
106,24 Oz Cups,1,Paper Goods,600 COUNT,10,Sleeve,12,Each,1,10000,64.75,,3
107,Dried Pinto Beans,0,Grocery,25lb,8,Quart,14.47,8,8,10000,14.3,,2
108,Grill Bricks,0,Janitorial,12 EA,2,BRICK,12,1,1,10000,13.2,,3
109,Sanitizer,0,Janitorial,4 GAL,0.6,GALLON,4,1,1,100,37.87,,2
110,Poly Gloves,0,Paper Goods,5000,12,BOX,10,1,1,100,34.1,,2
111,Sourdough,0,Bread,EA,208,EACH,1,1,1,1,0.76,,7
112,Dried Garbanzo Beans,2,Grocery,25lb,36,QUART,13.318,LB,1.877,1000000,23.22,,2
113,Crushed Red Pepper,0,Herbs,5lbs,54.8,OZ-wt,80,TBL,1,1000000,17.15,,2
114,Sugar (CANE),0,Beverage,EA,9,QUART,16,CUP,1,1E+12,30,,6
115,16/24 Oz Lids,1,Paper Goods,1000 CASE,12,Sleeve,10,1,1,100,25.51,,3
116,Straws,0,Paper Goods,2000,2.5,BOX,4,1,1,100,10.06,,3
117,16 Oz Cups,0,Paper Goods,1000 CASE,10,Sleeve,20,1,1,100,54.75,,3
118,Large To-Go Bags,0,Paper Goods,500,0.4,BAG,1,1,1,100,52.81,,3
119,Soufle Cups,0,Paper Goods,2500,4,Sleeve,25,1,1,100,26.35,,3
120,Ceramawrap,0,Paper Goods,2000,0,EACH,1,1,1,100,10.54,,3
121,Die-Cut To-Go Bags,0,Paper Goods,500,0.8,CASE,1,1,1,100,55.35,,3
122,Garbage Bags,1,Janitorial,250,0.75,CASE,1,1,1,100,28.62,,3
123,Detergent,1,Janitorial,5 GAL,0.9,GALLON,4,1,1,100,21.02,,2
124,De-Greaser,2,Janitorial,1 Gal,3,GALLON,4,1,1,100,5.53,,2
125,Bleach,0,Janitorial,4 GAL,4.2,GALLON,4,1,1,100,8,,3
126,Steel Wool,0,Janitorial,12 COUNT,9,Sleeve,12,1,1,100,4.77,,3
127,Fabuloso,0,Janitorial,3 GAL,3,1 GAL,3,1,1,,24.26,,2
128,Bay Leaves,0,Herbs,8oz,30,OZ-wt,8,OZ-wt,1,,11.91,,2
129,Lemonade Base,2,Beverage,EA,16.75,GALLON,4,1,16,,21.18,,2
130,Pink Lemonade Base,5,Beverage,4 GAL,20.4,GALLON,4,1,1,,22.23,,2
131,Jalapenos Nacho Sliced,0,Grocery,EA,3,CAN,6,OZ-wt,1,,19.99,,0
