Id,Name,LastOrderAmount,LastPurchasedPrice,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
0,Mozzarella,1,73.95,Dairy,CASE 30lb,5,5lb BAG,6,OZ-wt,80,1,,0
1,Cheddar,1,47.33,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,80,1,,0
2,Pepper Jack,1,45.25,Dairy,CASE 20lb,2,5lb BAG,4,OZ-wt,80,1,,0
3,Feta,1,54.17,Dairy,33lbs,2.05,5lb BAG,1,OZ-wt,160,100,,2
4,Butter,1,80,Dairy,CASE 30lb,24,1lb,30,OZ-wt,480,1,,6
5,Sour Cream,1,13.04,Dairy,2 x 5lb,1.5,5lb BUCKET,2,OZ-wt,160,95,,0
6,Heavy Cream,12,5.99,Dairy,1/2 Gallon,2,1/2 GALLON,1,CUP,48,1000000,,6
8,Eggs,1,16.98,Dairy,15 DOZEN,5.2,TRAY,6,EA,180,95,,0
9,Whole Milk,8,5.39,Dairy,2 GALLON,32,GALLON,2,CUP,32,100,,6
11,Pesto,1,106,Dairy,2/22lb,2,BAG,2,OZ-wt,4,970000,,0
13,Pizza Sauce,1,21.4,Grocery,6# CANS,8,CAN,6,EA,6,100,,0
14,Stewed Tomatoes,1,15.79,Grocery,6# CANS,6,CAN,6,EA,6,100,,0
18,Artichoke Hearts,3,43.83,Grocery,6# CANS,13,CAN,6,OZ-wt,324,10000,,2
19,Mayonnaise,1,24.95,Grocery,4 GAL,5,JUG,4,EA,4,10000,,0
20,BBQ Sauce,1,42.79,Grocery,CS 39.5lbs,5,JUG,4,OZ-wt,632,9800,,0
21,Macaroni,3,17.72,Grocery,20lb CASE,3,BAG,2,EA,320,241,,0
23,Roasted Bell Peppers,2,29.95,Grocery,6# CANS,32,CAN,6,OZ-wt,360,98,,2
24,Chopped Clams,3,93.95,Grocery,12x48oz CANS,41,CAN,12,EA,12,100,,2
25,Tomato Juice,1,15.79,Grocery,12x48oz CANS,20,CAN,12,EA,12,100,,0
26,Clam Juice,1,33.99,Grocery,12x48oz CANS,39,CAN,12,EA,12,100,,2
