Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,Dairy,CASE 30lb,4,5lb BAG,6,OZ-wt,480,1,66.55,2,,0
1,Cheddar,Dairy,CASE 20lb,5,5lb BAG,4,OZ-wt,320,1,44.2,1,,0
2,Pepper Jack,Dairy,CASE 20lb,4,5lb BAG,4,OZ-wt,320,1,42.45,1,,0
3,Feta,Dairy,10lb CASE,2,5lb BAG,1,OZ-wt,160,100,28,1,,0
4,Butter,Dairy,CASE 30lb,26,1lb,30,OZ-wt,480,1,81.09,1,,0
5,Sour Cream,Dairy,2 x 5lb,0,5lb BUCKET,2,OZ-wt,160,95,12.5,1,,0
6,Heavy Cream,Dairy,1/2 Gallon,7.5,1/2 GALLON,6,CUP,48,1000000,41.5,1,,0
8,Eggs,Dairy,15 DOZEN,6.75,TRAY,6,EA,180,95,9.91,1,,2
9,Whole Milk,Dairy,2 GALLON,19,GALLON,2,CUP,32,100,5.29,1,,6
11,Pesto,Dairy,2/22lb,1,BAG,2,OZ-wt,4,970000,106,1,,0
13,Pizza Sauce,Grocery,6# CANS,8,CAN,6,EA,6,100,20.95,1,,0
14,Stewed Tomatoes,Grocery,6# CANS,5,CAN,6,EA,6,100,14.97,1,,0
18,Artichoke Hearts,Grocery,6# CANS,16,CAN,6,OZ-wt,324,10000,43.95,2,,2
19,Mayonnaise,Grocery,4 GAL,3,JUG,4,EA,4,10000,23.77,1,,0
20,BBQ Sauce,Grocery,CS 39.5lbs,5,JUG,4,OZ-wt,632,9800,42.34,1,,0
21,Macaroni,Grocery,2lb,22,BAG,2,EA,320,241,13.15,12,,2
23,Roasted Bell Peppers,Grocery,6# CANS,12,CAN,6,OZ-wt,360,98,30.52,3,,2
24,Chopped Clams,Grocery,12x48oz CANS,54,CAN,12,EA,12,100,87.27,2,,2
25,Tomato Juice,Grocery,12x48oz CANS,14,CAN,12,EA,12,100,15.79,2,,0
26,Clam Juice,Grocery,12x48oz CANS,33,CAN,12,EA,12,100,31.18,3,,2
30,Balsamic Vinegar,Grocery,2 x 5 Liter,3.5,JUG,2,OZ-wt,169.07,100,17.95,1,,2
31,Tapatio,Grocery,EA,19,BOTTLE,12,EA,12,10000,11.5,1,,2
32,Sriracha,Grocery,12x17oz,2,BOTTLE,12,EA,12,100,25.89,0,,0
33,Chicken Broth,Grocery,4x32oz,5,BOTTLE,4,OZ-wt,1,100,45.13,1,,0
34,Canola Oil,Grocery,35lb JUG,1.2,JUG,1,OZ-wt,800,99,22.87,1,,0
35,Canola Oil Bottles,Grocery,EA,0,BOTTLE,1,OZ-fl,1,100,1.27,0,,0
36,Olive Oil,Grocery,6 GAL,9,JUG,6,OZ-fl,768,99,50.8,1,,0
37,Flour,Grocery,25lb,1.2,BAG,1,CUP,66.67,10000,6.98,1,,0
38,Sugar (BROWN),Grocery,25lb,22,QUART,16,CUP,62.5,10000,13.88,0,,6
40,Tahini,Grocery,40lbs,1.1,LB,1,OZ-wt,640,9800,60.09,1,,2
41,Kalamata Olives,Grocery,6x4.4lbs,11,JAR,6,OZ-wt,64.8,10000,63.94,2,,2
42,Lemon Juice,Grocery,1 Gal,7.75,GAL,4,OZ-wt,128,100,16.69,1,,2
43,Dried Basil,Herbs,12oz,77.4,OZ-wt,12,TBL,274.29,100,11.91,0,,0
44,Thyme,Herbs,1lb,54.6,OZ-wt,16,TBL,243.81,100,9.85,0,,0
45,Oregano,Herbs,1.75,52.8,OZ-wt,28,TBL,232.73,100,16.79,0,,0
46,Cumin,Herbs,4.5lbs,152.6,OZ-wt,80,TBL,360,100,17.79,1,,2
47,Cayenne Pepper,Herbs,5lbs,57.6,OZ-wt,80,TBL,1,1,17.45,0,,0
48,Pepper,Herbs,5lbs,86,OZ-wt,80,TBL,312.2,100,43.72,1,,2
49,Salt,Herbs,EA,1,Container,1,TBL,615,100,5.9,1,,0
50,Chili Powder,Herbs,6lbs,133.8,OZ-wt,96,TBL,78.05,100,24.41,1,,2
51,Paprika,Herbs,5lbs,138.6,OZ-wt,80,TBL,36.96,1E+08,16.65,1,,2
52,Old Bay Seasoning,Herbs,6/24oz,1.5,JAR,6,TBL,1,100,68,0,,0
54,Yellow Onions,Produce,50lb,0,BAG,1,OZ-wt,800,85,13.04,3,,0
55,Red Onions,Produce,25lb,1.2,BAG,1,OZ-wt,400,8500,10.89,1,,0
56,Potatoes,Produce,50lb,1.2,1/2 CASE,1,OZ-wt,800,850000,12.5,1,,0
57,Spinach,Produce,4x2.5lb,0,BAG,4,OZ-wt,160,99,15.75,2,,0
58,Mixed Greens,Produce,3lb,1,BAG,1,OZ-wt,48,9800,5.99,1,,0
59,Mushrooms,Produce,10lb CASE,0,FLAT,1,OZ-wt,160,95,18,2,,0
60,Cucumbers,Produce,36 COUNT,0.2,CASE,1,OZ-wt,420,950000,17.99,1,,0
61,Tomatoes,Produce,25lb,0.2,CASE,1,OZ-wt,400,97,9.5,2,,0
62,Avocado,Produce,60 COUNT,60,EACH,60,EA,24,10000,49,1,,0
63,Celery,Produce,24 COUNT,0,1/2 CASE,24,BUNCH,12,100,38,1,,0
64,Fresh Basil,Produce,1lb,2,BAG,1,OZ-wt,16,65,8.3,1,,0
65,Jalapenos,Produce,40lbs,1,BAG,1,OZ-wt,32,95,22.89,1,,0
66,Pineapple,Produce,6 COUNT,5,EACH,6,OZ-wt,44,100,16.99,1,,0
71,Garlic Peeled,Produce,5lbs,0,JAR,1,OZ-wt,114.29,98,18,1,,0
