Id,Name,Category,PurchasedUnit,LastOrderAmount,LastPurchasedPrice,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedDate,LastVendorId
63,Celery,Produce,24 COUNT,0,31.5,12,1/2 CASE,24,BUNCH,12,100,10/11/2017 12:00:00 AM,0
64,Fresh Basil,Produce,1lb,0,8.99,0,BAG,1,OZ-wt,16,65,1/17/2018 12:00:00 AM,0
66,Pineapple,Produce,6 COUNT,1,16.99,0,EACH,6,OZ-wt,44,100,1/21/2018 12:00:00 AM,0
71,Garlic Peeled,Produce,5lbs,0,16.99,0,JAR,1,OZ-wt,114.29,98,1/17/2018 12:00:00 AM,0
72,Chicken Breast,Poultry,40lb CASE,3,41.98,0,CASE,1,OZ-wt,640,85,1/21/2018 12:00:00 AM,0
73,Ground Beef,Meats,20lb CASE,0,45.8,3,LOG,2,EA,2,10000,10/11/2017 12:00:00 AM,0
74,Italian Sausage,Meats,20lb CASE,2,47.5,0,BAG,4,OZ-wt,160,91,1/21/2018 12:00:00 AM,0
75,Bacon Bits,Meats,10lb CASE,3,53.49,0,BAG,2,OZ-wt,80,1,1/21/2018 12:00:00 AM,0
77,Whole Wheat,Bread,EA,0,0.76,40,EACH,1,EA,1,1000000,4/24/2017 3:47:00 PM,7
78,Biopack #4,Paper Goods,Case,7,39.55,0,Stack,4,Each,40,4E+07,1/23/2018 12:00:00 AM,3
79,Water Cups,Paper Goods,2500,1,73.7,0,Sleeve,25,1,2500,10000,1/16/2018 12:00:00 AM,3
80,Soufle Lids,Paper Goods,2500,1,26.35,26,Sleeve,25,1,1,100,4/25/2017 4:46:00 PM,3
81,Spoons,Paper Goods,1000,1,7,5.5,Sleeve,10,1,1,10000,4/25/2017 4:46:00 PM,3
82,Forks,Paper Goods,1000,1,20.59,0,Sleeve,10,1,1,10000,1/23/2018 12:00:00 AM,3
85,Wax Paper Sheets,Paper Goods,6000,1,54.65,6,Stack,6,1,1,10000,2/22/2017 7:09:00 PM,3
86,Small To-Go Bags,Paper Goods,500,1,14.88,0,Case,1,1,1,100,1/16/2018 12:00:00 AM,3
87,Foil Roll,Paper Goods,ROLL,0,17.99,4,1,1,1,1,1E+08,4/25/2017 4:46:00 PM,2
89,To-Go Soup Bowls (16oz),Paper Goods,500,1,48.78,5,Sleeve,10,1,1,1000000,4/25/2017 4:46:00 PM,3
90,Paper Towels,Paper Goods,4000,1,16.11,0,Sleeve,16,1,1,1E+08,1/23/2018 12:00:00 AM,3
91,To-Go Soup Lids,Paper Goods,500,1,42.68,7,Sleeve,10,1,1,1E+08,4/25/2017 4:46:00 PM,3
92,To-Go Soup Bowls (12oz),Paper Goods,500,1,42.68,8,Sleeve,10,1,1,10000,4/24/2017 3:47:00 PM,3
95,Napkins,Paper Goods,6000,1,45.46,0,Stack,12,1,1,10000,1/16/2018 12:00:00 AM,3
97,Dried Black Beans,Grocery,50lbs,0,41.35,4,Quart,27.414,3.5,1,100,2/22/2017 7:09:00 PM,0
99,Cinnamon,Herbs,,1,18.02,71.2,LB,80,OZ-wt,1,1,12/11/2017 12:00:00 AM,2
100,Passion Syrup,Beverage,6/5.5lbs,0,60,10,5.5 lbs,6,CUP,7.65,100,,5
101,Allspice,Herbs,1lb,0,8.02,41,OZ-wt,16,TBL,1,1000000,,2
102,Black Tea,Beverage,(20 x 600g) CASE,0,110,14.5,BAG,20,CUP,5.88,100,,5
104,Honey,Beverage,5lbs,0,11.99,2.25,JAR,1,CUP,6.96,100,4/24/2017 3:47:00 PM,6
106,24 Oz Cups,Paper Goods,600 COUNT,1,64.75,10,Sleeve,12,Each,1,10000,4/25/2017 4:46:00 PM,3
107,Dried Pinto Beans,Grocery,25lb,0,28.69,8,Quart,14.47,8,8,10000,8/9/2017 12:00:00 AM,0
108,Grill Bricks,Janitorial,12 EA,0,13.2,2,BRICK,12,1,1,10000,4/25/2017 4:46:00 PM,3
109,Sanitizer,Janitorial,4 GAL,1,59.9,0.6,GALLON,4,1,1,100,6/13/2017 12:00:00 AM,3
110,Poly Gloves,Paper Goods,2000,1,15.8,0,BOX,4,1,1,100,1/23/2018 12:00:00 AM,3
111,Sourdough,Bread,EA,0,0.76,208,EACH,1,1,1,1,,7
112,Dried Garbanzo Beans,Grocery,25lb,1,23.26,36,QUART,13.318,LB,1.877,1000000,12/11/2017 12:00:00 AM,2
113,Crushed Red Pepper,Herbs,5lbs,1,17.15,54.8,OZ-wt,80,TBL,1,1000000,12/11/2017 12:00:00 AM,2
114,Sugar (CANE),Beverage,EA,0,30,9,QUART,16,CUP,1,1E+12,,6
