Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
74,Italian Sausage,Meats,10lb CASE,6,BAG,2,OZ-wt,160,0.91,17.54,6,12/28/2016 11:52:40 AM
75,Bacon Bits,Meats,10lb CASE,4,BAG,2,OZ-wt,160,1,70,2,1/11/2017 3:01:07 PM
76,Sourdough,Bread,EACH,100,EACH,1,EA,1,1,0.75,0,
77,Whole Wheat,Bread,EACH,64,EACH,1,EA,1,1,0.75,0,
78,Biopack #4,Paper Goods,Case,4,Stack,4,Each,40,40,32.65,5,
79,Water Cups,Paper Goods,2500,30,Sleeve,25,1,2500,100,66.31,1,
80,Soufle Lids,Paper Goods,2500,10,Sleeve,25,1,1,100,36.62,1,
81,Soufle Cups,Paper Goods,2500,0.7,Sleeve,10,1,1,100,43.9,1,
82,Large To-Go Bags,Paper Goods,300,0.7,Case,1,1,1,100,36.5,1,
83,Spoons (compostable),Paper Goods,1000,40,Sleeve,20,1,1,100,21.47,1,
84,Forks (compostable),Paper Goods,1000,45,Sleeve,20,1,1,100,21.47,1,
85,Wax Paper Sheets,Paper Goods,1000,7,Stack,6,1,1,100,59.9,1,
86,Ceramawrap,Paper Goods,Roll,0,Roll,1,1,1,100,9.44,1,
87,Foil Roll,Paper Goods,Roll,2,1,1,1,1,100,22.77,1,
88,Small To-Go Bags,Paper Goods,500,0.75,Case,1,1,1,100,12.85,1,
89,Die-Cut To-Go Bags,Paper Goods,500,0.6,Case,1,1,1,100,48.9,1,
90,Paper Towels,Paper Goods,4000,8,Sleeve,16,1,1,100,16.11,1,
91,To-Go Soup Lids,Paper Goods,500,10,Sleeve,10,1,1,100,42.68,1,
92,To-Go Soup Bowls (12oz),Paper Goods,500,12,Sleeve,10,1,1,100,42.68,1,
93,To-Go Soup Bowls (16oz),Paper Goods,500,4,Sleeve,10,1,1,100,48.78,1,
94,Vinyl Gloves (Large),Paper Goods,1000,0,Box,10,1,1,100,21.75,1,
95,Napkins,Paper Goods,6000,8,Stack,12,1,1,100,30,1,
96,Dried Pinto Beans,Grocery,50#,25,Quart,26.6667,8,8,100,45,1,
97,Dried Black Beans,Grocery,50#,10,Quart,27.414,3.5,1,100,31,1,
98,Dried Pinto Beans,Grocery,50#,0,Quart,27.64,6.5,1,100,27,1,
99,Cinnamon,Herbs,,0,LB,0,OZ-wt,1,,0,0,
