Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,59.379,6,CASE 30lb,Dairy,0,5lb BAG,OZ-wt,80,1,2,1/17/2018 12:00:00 AM,0
1,Cheddar,41.69,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,4,1/17/2018 12:00:00 AM,0
2,Pepper Jack,47.79,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,1,1/17/2018 12:00:00 AM,0
3,Feta,55.39,1,33lbs,Dairy,2,5lb BAG,OZ-wt,160,1,2,12/11/2017 12:00:00 AM,2
4,Butter,81.7113,30,CASE 30lb,Dairy,23,1lb,OZ-wt,16,1,1,2/22/2017 7:09:00 PM,9
5,Sour Cream,13.99,2,2 x 5lb,Dairy,0,GALLON,OZ-wt,16,1,0,8/23/2017 12:00:00 AM,0
6,Heavy Cream,6.2036,1,1/2 Gallon,Dairy,2.5,1/2 GALLON,CUP,48,1,0,7/6/2017 12:00:00 AM,9
8,Eggs,16.98,6,15 DOZEN,Dairy,0,TRAY,EA,180,95,1,1/17/2018 12:00:00 AM,0
9,Whole Milk,5.49,2,2 GALLON,Dairy,20,GALLON,CUP,16,100,28,7/6/2017 12:00:00 AM,6
11,Pesto,106,2,2/22lb,Dairy,0,BAG,OZ-wt,4,970000,1,1/17/2018 12:00:00 AM,0
13,Pizza Sauce,21.45,6,6# CANS,Grocery,0,CAN,EA,6,100,1,1/17/2018 12:00:00 AM,0
14,Stewed Tomatoes,15.47,6,6# CANS,Grocery,0,CAN,EA,6,100,0,1/10/2018 12:00:00 AM,0
18,Artichoke Hearts,43.83,6,6# CANS,Grocery,18,CAN,OZ-wt,324,10000,4,12/11/2017 12:00:00 AM,2
19,Mayonnaise,25.75,4,4 GAL,Grocery,0,JUG,EA,4,10000,1,1/17/2018 12:00:00 AM,0
20,BBQ Sauce,40.29,4,CS 39.5lbs,Grocery,3,JUG,OZ-wt,632,9800,1,12/11/2017 12:00:00 AM,2
