Id,PurchasedUnit,Name,Category,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate
74,10lb CASE,Italian Sausage,Meats,10,BAG,2,OZ-wt,160,0.91,17.54,6,12/28/2016 11:52:40 AM
75,10lb CASE,Bacon Bits,Meats,6,BAG,2,OZ-wt,160,1,70,2,1/11/2017 3:01:07 PM
76,EACH,Sourdough,Bread,288,EACH,1,EA,1,1,0.75,0,
77,EACH,Whole Wheat,Bread,66,EACH,1,EA,1,1,0.75,0,
78,Case,Biopack #4,Paper Goods,4,Stack,4,Each,40,40,32.65,5,
79,2500,Water Cups,Paper Goods,5,Sleeve,25,1,2500,100,66.31,1,
80,2500,Soufle Lids,Paper Goods,23,Sleeve,25,1,1,100,36.62,1,
81,2500,Soufle Cups,Paper Goods,10,Sleeve,10,1,1,100,43.9,1,
82,300,Large To-Go Bags,Paper Goods,1,Case,1,1,1,100,36.5,1,
83,1000,Spoons (compostable),Paper Goods,1,Sleeve,20,1,1,100,21.47,1,
84,1000,Forks (compostable),Paper Goods,1,Sleeve,20,1,1,100,21.47,1,
85,1000,Wax Paper Sheets,Paper Goods,1,Stack,6,1,1,100,59.9,1,
86,Roll,Ceramawrap,Paper Goods,1,Roll,1,1,1,100,9.44,1,
87,Roll,Foil Roll,Paper Goods,1,1,1,1,1,100,22.77,1,
88,500,Small To-Go Bags,Paper Goods,1,Case,1,1,1,100,12.85,1,
89,500,Die-Cut To-Go Bags,Paper Goods,1,Case,1,1,1,100,48.9,1,
90,4000,Paper Towels,Paper Goods,9,Sleeve,16,1,1,100,16.11,1,
91,500,To-Go Soup Lids,Paper Goods,4,Sleeve,10,1,1,100,42.68,1,
92,500,To-Go Soup Bowls (12oz),Paper Goods,8,Sleeve,10,1,1,100,42.68,1,
93,500,To-Go Soup Bowls (16oz),Paper Goods,8,Sleeve,10,1,1,100,48.78,1,
94,1000,Vinyl Gloves (Large),Paper Goods,31,Box,10,1,1,100,21.75,1,
95,6000,Napkins,Paper Goods,9,Stack,12,1,1,100,30,1,
96,50#,Dried Pinto Beans,Grocery,28,Quart,26.6667,8,8,100,45,1,
97,50#,Dried Black Beans,Grocery,20,Quart,27.414,3.5,1,100,31,1,
98,50#,Dried Pinto Beans,Grocery,16,Quart,27.64,6.5,1,100,27,1,
99,,Cinnamon,Herbs,0,LB,0,OZ-wt,1,,0,0,
100,,Allspice,Herbs,0,OZ-wt,0,TBL,8,,0,0,
