Id,Name,LastPurchasedPrice,Conversion,PurchasedUnit,Category,Count,CountUnit,RecipeUnit,RecipeUnitConversion,Yield,LastOrderAmount,LastPurchasedDate,LastVendorId
0,Mozzarella,61.99,6,CASE 30lb,Dairy,2,5lb BAG,OZ-wt,80,1,0,,0
1,Cheddar,42.6,4,CASE 20lb,Dairy,0,5lb BAG,OZ-wt,80,1,0,,9
2,Pepper Jack,48.83,4,CASE 20lb,Dairy,1,5lb BAG,OZ-wt,80,1,0,,0
3,Feta,54.17,1,33lbs,Dairy,1.25,5lb BAG,OZ-wt,160,100,1,,2
4,Butter,85,30,CASE 30lb,Dairy,30,1lb,OZ-wt,16,1,1,,9
5,Sour Cream,13.04,2,2 x 5lb,Dairy,0,5lb BUCKET,OZ-wt,160,95,0,,0
6,Heavy Cream,6.2,1,1/2 Gallon,Dairy,3,1/2 GALLON,CUP,48,1000000,0,,9
8,Eggs,16.98,6,15 DOZEN,Dairy,3.75,TRAY,EA,180,95,0,,0
9,Whole Milk,5.49,2,2 GALLON,Dairy,16,GALLON,CUP,16,100,24,,6
11,Pesto,106,2,2/22lb,Dairy,0,BAG,OZ-wt,4,970000,1,,0
13,Pizza Sauce,21.45,6,6# CANS,Grocery,5,CAN,EA,6,100,1,,0
14,Stewed Tomatoes,15.47,6,6# CANS,Grocery,0,CAN,EA,6,100,2,,0
18,Artichoke Hearts,43.83,6,6# CANS,Grocery,7,CAN,OZ-wt,324,10000,2,,2
19,Mayonnaise,24.95,4,4 GAL,Grocery,3,JUG,EA,4,10000,1,,0
20,BBQ Sauce,45.99,4,CS 39.5lbs,Grocery,5,JUG,OZ-wt,632,9800,0,,0
21,Macaroni,17.72,2,20lb CASE,Grocery,1,BAG,EA,160,1,5,,0
23,Roasted Bell Peppers,37.44,6,6# CANS,Grocery,0,CAN,OZ-wt,360,98,2,,0
24,Chopped Clams,91.55,12,12x48oz CANS,Grocery,25,CAN,EA,12,100,2,,2
25,Tomato Juice,15.79,12,12x48oz CANS,Grocery,5,CAN,EA,12,100,3,,0
26,Clam Juice,33.99,12,12x48oz CANS,Grocery,24,CAN,EA,12,100,1,,2
30,Balsamic Vinegar,17.95,2,2 x 5 Liter,Grocery,2.75,JUG,OZ-wt,169.07,100,1,,2
31,Tapatio,18.99,12,EA,Grocery,12,BOTTLE,EA,12,10000,0,,0
32,Sriracha,25.89,12,12x17oz,Grocery,8,BOTTLE,EA,12,100,0,,0
33,Chicken Broth,35.99,4,4x32oz,Grocery,5,BOTTLE,OZ-wt,1,100,1,,2
34,Canola Oil,24.55,1,35lb JUG,Grocery,1.25,JUG,OZ-wt,800,99,0,,0
36,Olive Oil,50.8,6,6 GAL,Grocery,0.4,JUG,OZ-fl,128,99,2,,0
38,Sugar (BROWN),13.88,16,25lb,Grocery,15,QUART,CUP,62.5,10000,0,,0
40,Tahini,60.09,1,40lbs,Grocery,1,LB,OZ-wt,640,9800,1,,2
41,Kalamata Olives,63.94,6,6x4.4lbs,Grocery,6,JAR,OZ-wt,64.8,10000,2,,2
42,Lemon Juice,16.69,4,1 Gal,Grocery,5.75,GAL,OZ-wt,128,100,1,,2
43,Dried Basil,11.91,12,12oz,Herbs,19.2,OZ-wt,TBL,274.29,100,0,,0
44,Thyme,13.33,32,2 lbs,Herbs,62.4,OZ-wt,TBL,243.81,100,2,,2
45,Oregano,13.88,24,1.5lbs,Herbs,40.4,OZ-wt,TBL,232.73,100,1,,2
46,Cumin,17.79,80,4.5lbs,Herbs,108.2,OZ-wt,TBL,360,100,1,,2
47,Cayenne Pepper,17.45,80,5lbs,Herbs,48.8,OZ-wt,TBL,1,1,0,,0
48,Pepper,33.9,80,5lbs,Herbs,220.6,OZ-wt,TBL,312.2,100,2,,2
